yuktype	L1	L2	L3	L4	L5	m12sq	tbeta	Dm11sq	Dm22sq	Dm12sq	DL1	DL2	DL3	DL4	DL5	DT1	DT2	DT3	status_nlo_stability	status_ewsr	status_tracing	status_coex_pairs	runtime	status_crit_0	T_crit_0	omega_CB_crit_false_0	omega_1_crit_false_0	omega_2_crit_false_0	omega_CP_crit_false_0	omega_CB_crit_true_0	omega_1_crit_true_0	omega_2_crit_true_0	omega_CP_crit_true_0	status_bounce_sol_0	status_nucl_approx_0	T_nucl_approx_0	omega_CB_nucl_approx_false_0	omega_1_nucl_approx_false_0	omega_2_nucl_approx_false_0	omega_CP_nucl_approx_false_0	omega_CB_nucl_approx_true_0	omega_1_nucl_approx_true_0	omega_2_nucl_approx_true_0	omega_CP_nucl_approx_true_0	status_nucl_0	T_nucl_0	omega_CB_nucl_false_0	omega_1_nucl_false_0	omega_2_nucl_false_0	omega_CP_nucl_false_0	omega_CB_nucl_true_0	omega_1_nucl_true_0	omega_2_nucl_true_0	omega_CP_nucl_true_0	status_perc_0	T_perc_0	omega_CB_perc_false_0	omega_1_perc_false_0	omega_2_perc_false_0	omega_CP_perc_false_0	omega_CB_perc_true_0	omega_1_perc_true_0	omega_2_perc_true_0	omega_CP_perc_true_0	status_compl_0	T_compl_0	omega_CB_compl_false_0	omega_1_compl_false_0	omega_2_compl_false_0	omega_CP_compl_false_0	omega_CB_compl_true_0	omega_1_compl_true_0	omega_2_compl_true_0	omega_CP_compl_true_0	status_gw_0	T_star_0	T_reh_0	v_wall_0	alpha_PT_0	beta/H_0	kappa_col_0	kappa_sw_0	eps_turb_0	cs_f_0	cs_t_0	fb_col_0	h2Omegab_col_0	f_1_sw_0	f_2_sw_0	h2Omega_2_sw_0	f_1_turb_0	f_2_turb_0	h2Omega_2_turb_0	SNR(LISA-3yrs)_col_0	SNR(LISA-3yrs)_sw_0	SNR(LISA-3yrs)_turb_0	SNR(LISA-3yrs)_0	transition_history
1	0.2061394598313448	0.341679580207815	3.0833466997466124	-1.408279004829568	-1.5476599000512343	12768.777547483274	2.0501578931930924	3583.7312344657489	1960.164263843737	171.61667572843305	-0.11325866867206692	-0.10524248843231561	-0.050237415790986464	0	-0.0018606756012914077	0	0	0	success	ew_sym_res	success	success	22.817	success	141.15949717254898	0	0	0	0	-1.2761713893140135e-10	39.005958730943661	77.144531004457605	-5.0902933819175727e-11	success	success	140.98204696342714	0	0	0	0	-1.8278980686903965e-10	42.02723776014912	82.995237703452943	-2.3293990571774825e-10	success	140.98882273093733	0	0	0	0	5.2197911203181889e-10	41.929943586740237	82.807039618190487	-3.2110376446156873e-10	success	140.94958119250626	0	0	0	0	7.4087277563513882e-11	42.47945499639512	83.869800103020822	-5.2049397117253476e-10	success	140.94653624735818	0	0	0	0	-9.4760006069916014e-11	42.520761980707661	83.94967144361641	-1.0005391065123788e-10	success	140.94958083278951	140.94958083278951	0.94999999999999996	0.0012217411535265894	117242.37756621033	0	0.0019230518757209752	0.10000000000000001	0.57692090211690672	0.57625848498380883	0.30369270247305158	0	0.13553088445448175	0.86125259744144156	2.1380284365489905e-24	0.00011010435665862292	1.4908397289992994	1.6684905809495515e-30	0	2.1514589676165028e-15	6.5926782492126856e-19	2.1518101634245183e-15	0-(0)->1
1	0.814290420651295	0.2726866425670808	3.9646066758121505	-1.79413241138903	-2.0476323251471253	1386.0546826016782	3.337036301464257	8208.0894406032639	3896.1506786621749	775.13002967320381	-0.65046913328692491	-0.14267413455352365	-0.06750092377864722	0	-0.008089006681009446	0	0	0	success	ew_sym_res	success	success	26.111000000000001	success	119.82048123874767	0	0	0	0	2.657724103363127e-10	64.55108819156473	182.70801688186765	-3.9856856229608985e-10	success	success	113.50137838492913	0	0	0	0	-1.1416168692634756e-10	68.366426810122576	196.84664194440941	-1.4136134495308547e-11	success	113.76758550524389	0	0	0	0	2.7828344687696994e-11	68.256684181398953	196.36707297078129	4.1246691644979634e-10	success	112.9311141276913	0	0	0	0	2.0708389149535522e-10	68.591214100712534	197.84956105032143	-3.7605477071694128e-10	success	112.84305968799879	0	0	0	0	-2.7512927132790795e-10	68.624722114869627	198.00155927886127	1.032386108188535e-10	success	112.9311141276913	112.9311141276913	0.94999999999999996	0.0093867047372490353	3249.7459429794694	0	0.014267566476993827	0.10000000000000001	0.57727933361356476	0.57368696407151032	0.006735759171725292	0	0.002999997055605099	0.018933686390859083	1.0115926679754957e-18	1.8326090838964138e-05	0.032999967611656092	6.9885873301110984e-24	0	1.2209568202231496e-05	1.2158819337506569e-10	1.2209684517625665e-05	0-(0)->1
1	5.278745958281944	0.2354290839757044	0.8486749778857966	1.3037712649357909	-1.1350673170332302	12109.344285336989	6.657751287025503	9045.3122369942066	612.53631237703519	172.60500744305693	-1.1875260781957373	-0.056177571635189584	-0.10066805514202944	0	0.034402918490887537	0	0	0	success	non_bfb	success	success	28.963000000000001	success	181.7882499372048	0	0	0	0	8.0277605437641772e-11	4.9992177748709414	19.277251556808938	3.7404818196723465e-09	success	success	181.77936481934182	0	0	0	0	3.5431739681337982e-10	5.1639716541027267	19.91736374092606	6.9550193213690188e-09	success	181.77964204907036	0	0	0	0	3.6188434142090469e-10	5.1591085374419068	19.898461935442484	1.1255968539273222e-09	success	181.77704585466816	0	0	0	0	1.852398543102611e-09	5.2036093271067472	20.071444589950637	9.4091783549185448e-10	success	181.77687336105382	0	0	0	0	-9.8095573398975275e-10	5.2065206153290404	20.082762622956281	-2.0180468683982938e-09	success	181.77704585466816	181.77704585466816	0.94999999999999996	2.3087468005543324e-05	2658323.1792184561	0	3.6861645107828747e-05	0.10000000000000001	0.57776697403307353	0.57775306222238665	8.8877431711408619	0	3.9834922754011926	25.415371340757332	2.6751712572795426e-32	6.1628378566527125e-05	43.818415029413117	4.224983090953203e-40	0	1.0870750302335726e-27	5.6799094341816016e-30	1.0900371424034463e-27	0-(0)->1
1	7.33200482553261	0.2868479247820757	1.2836394694683488	0.7093451327941978	-2.185603143618859	4666.076459226466	3.006370369783096	14080.68265602765	1494.3242326066345	591.87682106130239	-0.67489403184983687	-0.082043234371113119	-0.15717432653319702	0	0.07120485940624656	0	0	0	success	non_bfb	success	no_coex_pair	4.3579999999999997	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_set
1	1.156330490480512	0.2331907612638231	0.3637036104174252	3.730873780970079	-3.5899168520497167	9029.287637650732	3.37579137424349	-5651.1236463068326	3443.8892330947001	-3610.3127842839222	2.3126920994149307	-0.26993593935911681	-0.051756060373503956	0	-0.44615966604853491	0	1.7462298274040222e-09	0	success	ew_sym_res	success	success	28.593	success	130.13940114347545	0	0	0	0	-1.2214992208589628e-10	58.574572100978926	145.02002471300014	-1.5228958275958799e-10	success	success	127.91939096366877	0	0	0	0	3.6736177806049972e-10	60.977270692177484	157.26198653117862	-1.5724976314792879e-10	success	128.00789273442376	0	0	0	0	-6.3835162121812701e-10	60.902588687509237	156.85716377805184	3.6958145461183655e-10	success	127.65838134189997	0	0	0	0	9.2988157915094843e-10	61.190540202417964	158.42766200604214	2.2589670468146822e-11	success	127.62557088831292	0	0	0	0	-3.8285412105576828e-10	61.216644319758444	158.57133408282039	9.4653514167191739e-11	success	127.65838543788402	127.65838543788402	0.94999999999999996	0.0042575804882763937	9868.1178104100236	0	0.0066032719593419296	0.10000000000000001	0.57707810434696449	0.57509117083791295	0.023140768700667239	0	0.010304043378123455	0.065274811152721615	1.1213592628452716e-20	2.8912950332954912e-05	0.113344477159358	3.3700012944228803e-26	0	1.2126985143861353e-08	1.7480314782687443e-13	1.2127122875655555e-08	0-(0)->1
1	3.900143943487423	0.4068831714679385	1.1163809882847664	-1.7664090928627545	0.1727720757819473	4934.480179319838	2.5678430616425536	6706.9412022013248	-442.33525213450577	987.71021721574368	-0.095645216334886513	-0.029484680522247786	-0.034006965484525302	0	0.04937899731391493	0	0	0	success	ew_sym_res	success	success	21.509	success	156.65176359227121	0	0	0	0	1.9043940590200869e-09	9.2391414178657261	24.695706149747799	3.0636022454640111e-09	success	success	156.63897953209434	0	0	0	0	1.6975555123006243e-09	9.668091387692046	25.829916819463705	-4.2482953728692993e-10	success	156.63941948088922	0	0	0	0	1.9692425370584881e-09	9.6544253807382638	25.793803506502584	4.478253670010944e-11	success	156.63578425877779	0	0	0	0	3.3252298388036567e-10	9.765099813198475	26.086227543444956	-1.9348757188790286e-09	success	156.63553687639364	0	0	0	0	-2.4568716067576257e-09	9.772461755786173	26.105675965632063	1.1766445261015217e-09	success	156.63578463582763	156.63578463582763	0.94999999999999996	7.4641767320876887e-05	1593212.6288206987	0	0.00011880180791310556	0.10000000000000001	0.57742190255138937	0.57737904547412255	4.5881885684363946	0	2.0623810003175822	13.145140701994782	2.6235764489698273e-30	0.00010299151313504389	22.686191003493409	1.2705218449720151e-37	0	7.689295546744958e-25	3.2990824723886538e-27	7.7064913183406064e-25	0-(0)->1
1	6.894232099746165	0.0788266464350619	2.756340679639706	4.882392123037801	3.741933685402689	86830.60597161014	7.932889640436517	74384.369675230686	-12601.921223815654	-2625.5675244801573	-116.9241262075726	-1.236680414755629	-3.3948453671116168	0	0.12722632591044625	1.6298145055770874e-09	1.6763806343078613e-08	0	no_nlo_stability	not_set	not_set	not_set	0.66500000000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_set
1	4.649550206478783	5.811571843406831	1.7765652873534077	-3.830065902434815	-2.743609426465221	440773.24098139314	1.06961076618975	-61187.858091467562	-61340.767090394795	72875.508061583256	-2.3813417878208023	-3.4291963894766124	-1.1165451650257434	0	-0.28455243407955089	-1.4901161193847656e-08	7.4505805969238281e-09	0	success	ew_sym_res	success	no_coex_pair	6.4720000000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_set
1	5.5333850511385245	1.4709620802623875	6.609660373142364	-7.4646954040459566	-1.8750772849006383	442670.59500011936	1.9849965725408245	-266186.28983835917	-92721.747277587303	39216.371878355669	1.863844421335463	-0.73473347725083216	-2.2128183250528566	0	-2.0309803180793442	0	-1.4901161193847656e-08	0	success	non_bfb	success	success	48.194000000000003	success	225.12143435230439	0	0	0	0	3.6195027996940505e-11	17.451278731463191	35.576286478078543	4.5075052848395248e-10	failure	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_set	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0
1	3.65662630415676	7.800919783296389	6.097052121183878	-10.057073691475344	-1.2627870136827262	405854.2047139205	1.0396563264865104	-94242.901013926137	-119009.56914245561	33007.89062484826	-0.52547623328744197	-5.1964967552202337	-2.7520755818277056	0	-2.2411706655493515	-7.4505805969238281e-09	-1.4901161193847656e-08	0	success	non_bfb	success	no_coex_pair	8.3610000000000007	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_set
