yuktype	L1	L2	L3	L4	L5	m12sq	tbeta	Dm11sq	Dm22sq	Dm12sq	DL1	DL2	DL3	DL4	DL5	DT1	DT2	DT3	status_nlo_stability	status_ewsr	status_tracing	status_coex_pairs	runtime	status_crit_0	T_crit_0	omega_CB_crit_false_0	omega_1_crit_false_0	omega_2_crit_false_0	omega_CP_crit_false_0	omega_CB_crit_true_0	omega_1_crit_true_0	omega_2_crit_true_0	omega_CP_crit_true_0	status_bounce_sol_0	status_nucl_approx_0	T_nucl_approx_0	omega_CB_nucl_approx_false_0	omega_1_nucl_approx_false_0	omega_2_nucl_approx_false_0	omega_CP_nucl_approx_false_0	omega_CB_nucl_approx_true_0	omega_1_nucl_approx_true_0	omega_2_nucl_approx_true_0	omega_CP_nucl_approx_true_0	status_nucl_0	T_nucl_0	omega_CB_nucl_false_0	omega_1_nucl_false_0	omega_2_nucl_false_0	omega_CP_nucl_false_0	omega_CB_nucl_true_0	omega_1_nucl_true_0	omega_2_nucl_true_0	omega_CP_nucl_true_0	status_perc_0	T_perc_0	omega_CB_perc_false_0	omega_1_perc_false_0	omega_2_perc_false_0	omega_CP_perc_false_0	omega_CB_perc_true_0	omega_1_perc_true_0	omega_2_perc_true_0	omega_CP_perc_true_0	status_compl_0	T_compl_0	omega_CB_compl_false_0	omega_1_compl_false_0	omega_2_compl_false_0	omega_CP_compl_false_0	omega_CB_compl_true_0	omega_1_compl_true_0	omega_2_compl_true_0	omega_CP_compl_true_0	status_gw_0	T_star_0	T_reh_0	v_wall_0	alpha_PT_0	beta/H_0	kappa_col_0	kappa_sw_0	eps_turb_0	cs_f_0	cs_t_0	fb_col_0	h2Omegab_col_0	f_1_sw_0	f_2_sw_0	h2Omega_2_sw_0	f_1_turb_0	f_2_turb_0	h2Omega_2_turb_0	SNR(LISA-3yrs)_col_0	SNR(LISA-3yrs)_sw_0	SNR(LISA-3yrs)_turb_0	SNR(LISA-3yrs)_0	status_crit_1	T_crit_1	omega_CB_crit_false_1	omega_1_crit_false_1	omega_2_crit_false_1	omega_CP_crit_false_1	omega_CB_crit_true_1	omega_1_crit_true_1	omega_2_crit_true_1	omega_CP_crit_true_1	status_bounce_sol_1	status_nucl_approx_1	T_nucl_approx_1	omega_CB_nucl_approx_false_1	omega_1_nucl_approx_false_1	omega_2_nucl_approx_false_1	omega_CP_nucl_approx_false_1	omega_CB_nucl_approx_true_1	omega_1_nucl_approx_true_1	omega_2_nucl_approx_true_1	omega_CP_nucl_approx_true_1	status_nucl_1	T_nucl_1	omega_CB_nucl_false_1	omega_1_nucl_false_1	omega_2_nucl_false_1	omega_CP_nucl_false_1	omega_CB_nucl_true_1	omega_1_nucl_true_1	omega_2_nucl_true_1	omega_CP_nucl_true_1	status_perc_1	T_perc_1	omega_CB_perc_false_1	omega_1_perc_false_1	omega_2_perc_false_1	omega_CP_perc_false_1	omega_CB_perc_true_1	omega_1_perc_true_1	omega_2_perc_true_1	omega_CP_perc_true_1	status_compl_1	T_compl_1	omega_CB_compl_false_1	omega_1_compl_false_1	omega_2_compl_false_1	omega_CP_compl_false_1	omega_CB_compl_true_1	omega_1_compl_true_1	omega_2_compl_true_1	omega_CP_compl_true_1	status_gw_1	T_star_1	T_reh_1	v_wall_1	alpha_PT_1	beta/H_1	kappa_col_1	kappa_sw_1	eps_turb_1	cs_f_1	cs_t_1	fb_col_1	h2Omegab_col_1	f_1_sw_1	f_2_sw_1	h2Omega_2_sw_1	f_1_turb_1	f_2_turb_1	h2Omega_2_turb_1	SNR(LISA-3yrs)_col_1	SNR(LISA-3yrs)_sw_1	SNR(LISA-3yrs)_turb_1	SNR(LISA-3yrs)_1	transition_history
1	7.332497640334102	0.0913346076060505	1.9953662974249469	2.660426778906303	-3.668375027787441	31581.06655702432	2.647563416752724	48122.086847345847	10240.214401864039	9862.3434433874627	-5.6373096129250762	-0.47417308322443391	-1.1996541948340824	0	0.95824773754303738	1.6298145055770874e-09	0	0	success	non_bfb	success	no_coex_pair	4.9950000000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_set
1	4.22988950942663	0.9900819283129522	11.103443229531594	-6.995971865290137	-5.9954705954405805	80354.18478114443	2.359087097171737	-7175.8329879287849	506.22923277958262	-6108.1174975310578	0.089698781519002138	-2.540922655076737	-4.7010631191257266	0	-0.56236335026416095	1.1175870895385742e-08	-3.7252902984619141e-09	0	no_nlo_stability	not_set	not_set	not_set	0.17100000000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_set
1	8.235946026709486	1.2944403471100052	3.762471863462279	-4.945815093419389	-1.58511896923087	41483.05738489384	2.1881543876034906	-2467.6402694962335	-1137.142340973418	-7521.6825355624142	-2.196479790684279	-0.18410660032193843	-0.63097898360337223	0	-0.41530726318248234	0	-2.7939677238464355e-09	0	success	non_bfb	success	success	33.188000000000002	success	236.39660653109746	0	0	0	0	-1.2673113154519188e-09	95.66992679563046	176.63302337595266	-3.4164475023214828e-10	success	success	230.57967919954842	0	0	0	0	6.6209583091654699e-10	98.401424977543783	183.38733831834105	-8.4736901186731978e-10	success	230.72718939062213	0	0	0	0	6.2016933076523818e-10	98.342657756387567	183.23501090905222	-2.5852433061301632e-10	success	229.97586619875551	0	0	0	0	-3.3196629516902488e-10	98.637412715293109	184.00252099447238	8.6818697215642183e-10	success	229.90532321100738	0	0	0	0	6.505291617917976e-10	98.664517511014523	184.07353999992145	-1.4339911497246716e-09	success	229.97586619875551	229.97586619875551	0.94999999999999996	0.00047550947003769219	8306.1578100860625	0	0.00076173304624136957	0.10000000000000001	0.57851938725106422	0.57826340066427961	0.035145319436836492	0	0.015564723945861138	0.099441968957260277	9.4732127086714113e-24	4.966671551190934e-06	0.17121196340447253	8.0165140304291322e-30	0	3.7985591219396355e-12	2.7559480375347586e-17	3.7985789015113352e-12	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0-(0)->1
1	7.777230836384603	6.089922244402263	1.8853301851734463	-1.9766456091458944	-6.751973126420437	223481.70549396664	1.382417501175219	40837.733793835287	43029.774187049028	99972.407764888761	-10.240211636152258	-4.687636034868774	-4.2539103235307127	0	2.4051922322825492	0	-3.7252902984619141e-09	0	success	non_bfb	success	no_coex_pair	8.3049999999999997	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_set
1	6.533101052154675	0.4595919327042688	-1.6844866567644097	1.249941453168006	-0.7126994589480942	22520.778842495725	3.8236637734269414	7107.9395208148444	-1623.3044996233839	252.07387698092307	-1.2277964839151085	-0.02850251028588623	0.011924285399732582	0	0.020607760822251634	0	0	0	success	non_bfb	success	success	140.619	success	158.17646173854035	0	0	0	0	2.191193718465387e-09	3.0538385318824419	13.093166787514969	-2.5732249226639384e-09	success	success	158.17351415337649	0	0	0	0	1.2863620799359986e-09	3.137307162114626	13.450362358817827	2.6682251554171516e-10	success	158.1736106998747	0	0	0	0	-1.3759271260140528e-09	3.1349611593110667	13.440323180827987	3.1234627691886682e-10	success	158.17268574516029	0	0	0	0	-1.3679322677246063e-09	3.1594883247290353	13.545276399709918	-2.8341137475823742e-10	success	158.1726265284081	0	0	0	0	1.3139424194278765e-09	3.1608259138545662	13.551000188547849	1.0372735013764022e-09	success	158.17268574516029	158.17268574516029	0.94999999999999996	2.2695973826764533e-05	6734110.0500251492	0	3.6520721820768348e-05	0.10000000000000001	0.57873001224612763	0.57871638736707864	19.58412262341049	0	8.7882947235639186	56.216324282268062	4.2621165733592142e-33	0.00013418069515302536	96.671241959203115	6.2345232989954261e-41	0	1.6086041070841445e-29	3.7990723503056297e-31	1.6286671433913025e-29	success	156.5899142165685	-1.7572593727947309e-09	10.862817092509269	46.21137009074971	4.5220961324252164e-10	3.9585262454262231e-10	13.382867102910133	56.80193207630132	-7.6669432146715038e-10	failure	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_set	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0-(0)->1
1	7.0681024325574455	0.3695306048245501	0.1953489993983219	-0.139534864262429	-0.6746407203219511	21014.604160006347	3.0321658722370226	8871.5863553592972	-990.48006439096923	-174.29789127025532	-1.0524907605665088	-0.028347984626124423	-0.016015553580142818	0	0.010670611032502381	0	0	0	success	non_bfb	success	success	20.649000000000001	success	175.60707974420501	0	0	0	0	2.4302771940528067e-09	8.8756072403871222	21.14287079361878	-6.0859577209038428e-10	success	success	175.59496562477511	0	0	0	0	-6.371706515259499e-10	9.2109136766067152	21.944685025854188	1.2809590146969553e-09	success	175.59535424129223	0	0	0	0	4.0244594183911367e-10	9.2009118255712661	21.920761212218604	2.115360395801913e-09	success	175.59189815254564	0	0	0	0	-2.0695058752878301e-09	9.289207987550764	22.131974871974428	3.1996192790668847e-09	success	175.59166508488809	0	0	0	0	-1.0317721300127715e-09	9.2948243241140744	22.145411705918818	-7.5704018778723605e-10	success	175.59189820297041	175.59189820297041	0.94999999999999996	3.2470929815422119e-05	1900540.7946002388	0	5.1957393537693011e-05	0.10000000000000001	0.57804537014572499	0.57802609697514196	6.137698600573823	0	2.7518041381410452	17.5698745931868	1.4608595054119738e-31	5.9941523199405188e-05	30.269845519551499	3.2465547580312099e-39	0	1.7992795585757963e-26	6.3180874455473724e-29	1.8025707069119195e-26	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0-(0)->1
1	5.921421879398001	0.0462764136744628	2.062201869593843	3.045981033042046	-4.993484253147724	81297.97527182654	1.948326434399384	68853.691570591807	19663.265142572302	30699.767890653886	-7.0130544832860542	-1.0538189072297093	-2.277560212531113	0	2.2213748408842404	0	0	0	success	non_bfb	success	no_coex_pair	4.9119999999999999	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_set
1	5.962845743930713	0.4222347464945083	1.4600738606126729	-1.5479481680147833	-0.6304353642516897	28211.305243331688	2.2081295961573564	7380.7731296776692	-772.5101385651858	-1160.1155885061007	-0.85243204420614793	-0.040507556947747443	-0.064621166155158991	0	-0.032929329668126908	0	0	0	success	non_bfb	success	success	25.094000000000001	success	187.21793876494093	0	0	0	0	-8.467200184491797e-10	10.689566622610084	17.210151130496637	7.5468121331779924e-10	success	success	187.20673251680284	0	0	0	0	-1.1794230381681071e-10	11.040364971631947	17.778617857998722	-8.7886865555317506e-11	success	187.20707677038075	0	0	0	0	-4.5095940513427478e-11	11.030578519050986	17.762752583201838	4.5687092380559181e-10	success	187.20386788006681	0	0	0	0	-4.6623199046691691e-10	11.12376104049264	17.91382157996259	-7.1443666686037345e-10	success	187.20365317209877	0	0	0	0	7.1005548366796157e-10	11.129946370920811	17.923850285701377	-1.0560715295257336e-10	success	187.20386788006681	187.20386788006681	0.94999999999999996	1.7979078097066559e-05	2198240.9078266993	0	2.8686562806245028e-05	0.10000000000000001	0.57768107347331521	0.57767035942092904	7.5690628334463961	0	3.3945031065456761	21.652707706825399	1.7453071765048211e-32	4.0882885327193357e-05	37.339534172002438	2.2664509753847618e-40	0	1.1464000818128145e-27	3.5756136723708678e-30	1.1482620827708867e-27	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0-(0)->1
1	1.2911564381957992	1.2615997505422587	7.431395851818033	-5.0052603223930765	-3.665935064595928	97854.82430073198	1.7285582891457645	-3532.283492991844	-3269.2889327583139	-2110.0127420959061	-0.10395044445944826	-1.0004565935196801	-1.5594501712295659	0	-0.38388279841662609	-1.862645149230957e-09	0	0	success	non_bfb	success	success	30.960999999999999	success	192.82941737737974	0	0	0	0	3.0036509631002241e-10	87.555289122412233	155.61472848229204	-1.3167968375162424e-10	success	success	190.17586288886395	0	0	0	0	-3.041768132921615e-10	92.315306794123387	163.00764019570849	6.7265673219486507e-10	success	190.25953311475575	0	0	0	0	1.3880940223146968e-10	92.189252455959647	162.81239425296513	3.0433713445269756e-10	success	189.84577486878652	0	0	0	0	4.8595013591064194e-10	92.802033324858968	163.76128140470405	2.381916740664499e-10	success	189.80804315383344	0	0	0	0	2.3366331684456901e-10	92.856629721086804	163.84579378396842	-1.7196383651846808e-10	success	189.84577486878652	189.84577486878652	0.94999999999999996	0.0012368830076506755	12775.755711791209	0	0.0019705594350954937	0.10000000000000001	0.57822049470156822	0.57775390776442725	0.044610855954360491	0	0.019840238095755362	0.12658444631192833	1.393675967601134e-22	1.6416622294038704e-05	0.21824261905330899	1.5200701172200237e-28	0	3.0390310680241505e-11	4.1009742628035356e-16	3.0390589416509441e-11	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0-(0)->1
1	7.532582738782129	0.1218099511849469	3.260610608035912	-1.869386516774031	-1.1376997055553466	28173.26889964609	2.090559030661828	13811.052656710333	995.73823612453873	-2922.8589615558253	-1.5417456120918007	-0.091097731426621822	-0.30589812284932033	0	-0.06750298676223844	0	0	0	success	non_bfb	success	no_coex_pair	4.3739999999999997	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_set
