yuktype	L1	L2	L3	L4	L5	m12sq	tbeta	rel_radius	reason
1	7.33200482553261	0.2868479247820757	1.2836394694683488	0.7093451327941978	-2.185603143618859	4666.076459226466	3.006370369783096	4.01e-2	e7_e13_coex_a4_certified_neighborhood
1	4.649550206478783	5.811571843406831	1.7765652873534077	-3.830065902434815	-2.743609426465221	440773.24098139314	1.06961076618975	0	core_a_row8
1	3.65662630415676	7.800919783296389	6.097052121183878	-10.057073691475344	-1.2627870136827262	405854.2047139205	1.0396563264865104	0	core_a_row10
1	7.64737458585872	5.864282954285531	0.1819283837934276	-1.2807099270666342	-5.472309639517007	334213.9753273878	1.3332958830749126	5.6e-4	e14_coex_b1_certified_neighborhood
1	4.069191764911529	0.0510270199443614	8.223217184789211	-2.7527371454220466	1.6310705031741437	66634.63475322792	4.819158683930802	0	core_b_row5
1	7.731940445991089	5.980248190708344	3.0003388718769024	-4.647286247531566	-4.704360633010768	310637.5159529291	1.1740573181505485	0	core_b_row6
1	6.703032448490873	3.383718111233788	6.7151424126265535	-5.511363846825514	-5.531050438867261	368312.5593296126	1.3527309211264067	0	core_b_row9
1	7.332497640334102	0.0913346076060505	1.9953662974249469	2.660426778906303	-3.668375027787441	31581.06655702432	2.647563416752724	6.9e-4	e15_coex_c1_certified_neighborhood
1	7.777230836384603	6.089922244402263	1.8853301851734463	-1.9766456091458944	-6.751973126420437	223481.70549396664	1.382417501175219	0	core_c_row4
1	5.921421879398001	0.0462764136744628	2.062201869593843	3.045981033042046	-4.993484253147724	81297.97527182654	1.948326434399384	0	core_c_row7
1	7.532582738782129	0.1218099511849469	3.260610608035912	-1.869386516774031	-1.1376997055553466	28173.26889964609	2.090559030661828	0	core_c_row10
