sample_id	machine	archive_category	parameter_cell	validation_stratum	strict_snr	source	file	line	mH	mA	mHc	m12sq	sba	tb
1	office	thdmtool_only	m1_s0	numeric_boundary	0.0	random_20260831_095826.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/thdmtool_only_1.csv	677	9.775760000000000e+01	2.406290000000000e+02	2.456870000000000e+02	6.496160000000000e+02	2.246640000000000e-02	8.844900000000001e+00
2	office	thdmtool_only	m1_s0	numeric_boundary	0.0	random_20260831_095833.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/thdmtool_only_1.csv	17159	7.523449638214895e+01	4.523407817207581e+02	4.458881100380839e+02	6.090972778087488e+02	2.229768520382660e-02	6.092892350730450e+00
3	office	thdmtool_only	m1_s0	numeric_boundary	0.0	random_20260901_123251.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/thdmtool_only_2.csv	12721	1.245600496548170e+02	5.151956641646765e+02	5.159068339900819e+02	1.461175768492147e+03	5.268125337097418e-03	9.869363051090341e+00
4	qiushi	thdmtool_only	m1_s0	numeric_boundary	0.0	random_20260817_182439.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/thdmtool_only_1.csv	211	1.203870000000000e+02	3.098350000000000e+02	3.148660000000000e+02	9.596150000000000e+02	3.895600000000000e-02	1.083600000000000e+01
5	qiushi	thdmtool_only	m1_s0	numeric_boundary	0.0	random_20260817_182439.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/thdmtool_only.csv	14404	7.921970000000000e+01	4.016050000000000e+02	4.018070000000000e+02	3.871950000000000e+02	2.996680000000000e-03	8.731629999999999e+00
6	qiushi	both	m1_s0	numeric_boundary	3.279561833324538e-16	typeI_mH62-125/random_20260818_171842.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both.csv	9278	9.637490000000000e+01	2.875520000000000e+02	2.748370000000000e+02	6.499410000000000e+02	3.669130000000000e-02	1.079310000000000e+01
7	yuanyuan	thdmtool_only	m1_s0	numeric_boundary	0.0	random_20260815_194935.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/thdmtool_only.csv	5567	6.695310000000001e+01	3.693660000000000e+02	3.599900000000000e+02	3.704920000000000e+02	4.962860000000000e-02	8.731690000000000e+00
8	yuanyuan	thdmtool_only	m1_s0	numeric_boundary	0.0	random_20260815_194935.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/thdmtool_only.csv	7684	8.627660000000000e+01	3.030740000000000e+02	2.894850000000000e+02	1.199210000000000e+03	2.039640000000000e-02	6.319180000000000e+00
9	yuanyuan	thdmtool_only	m1_s0	numeric_boundary	0.0	random_20260815_194935.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/thdmtool_only.csv	7930	7.106630000000000e+01	3.674300000000000e+02	3.704670000000000e+02	4.056670000000000e+02	2.354020000000000e-02	1.121510000000000e+01
10	office	thdmtool_only	m1_s1	numeric_boundary	0.0	random_20260901_123243.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/thdmtool_only_3.csv	7928	9.622000000000000e+01	2.417420000000000e+02	2.421240000000000e+02	5.672680000000000e+02	1.316340000000000e-01	6.349650000000000e+00
11	office	thdmtool_only	m1_s1	numeric_boundary	0.0	random_20260901_123243.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/thdmtool_only_3.csv	8367	1.053650000000000e+02	4.198630000000000e+02	4.183740000000000e+02	7.078770000000000e+02	8.552129999999999e-02	1.197510000000000e+01
12	office	thdmtool_only	m1_s1	numeric_boundary	0.0	random_20260901_123251.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/thdmtool_only_2.csv	15868	1.036333280339753e+02	2.300021990502584e+02	2.466929280954760e+02	5.691576922795962e+02	1.659363806886218e-01	8.378780849266009e+00
13	qiushi	thdmtool_only	m1_s1	numeric_boundary	0.0	random_20260815_194920.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/thdmtool_only.csv	697	7.048930000000000e+01	3.058630000000000e+02	2.986260000000000e+02	6.004390000000000e+02	1.438370000000000e-01	6.905140000000000e+00
14	qiushi	thdmtool_only	m1_s1	numeric_boundary	0.0	random_20260821_011644.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/thdmtool_only_1.csv	7708	7.654460000000000e+01	4.688500000000000e+02	4.611370000000000e+02	3.506560000000000e+02	6.131440000000000e-02	6.533670000000000e+00
15	qiushi	thdmtool_only	m1_s1	numeric_boundary	0.0	random_20260901_134416.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/thdmtool_only_2.csv	2413	1.042640000000000e+02	3.705680000000000e+02	3.712380000000000e+02	7.697820000000000e+02	1.861620000000000e-01	7.564030000000000e+00
16	yuanyuan	thdmtool_only	m1_s1	numeric_boundary	0.0	random_20260813_154904.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/thdmtool_only.csv	526	1.104130000000000e+02	3.088500000000000e+02	3.054950000000000e+02	7.676020000000000e+02	1.283900000000000e-01	1.294080000000000e+01
17	yuanyuan	thdmtool_only	m1_s1	numeric_boundary	0.0	random_20260816_190714.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/thdmtool_only.csv	13696	8.668989999999999e+01	4.005180000000000e+02	3.978800000000000e+02	5.571580000000000e+02	9.982790000000000e-02	1.214280000000000e+01
18	yuanyuan	thdmtool_only	m1_s1	numeric_boundary	0.0	random_20260831_090924.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/thdmtool_only_2.csv	13635	1.003400000000000e+02	2.864460000000000e+02	2.825650000000000e+02	9.162340000000000e+01	1.944590000000000e-01	5.300620000000000e+00
19	qiushi	thdmtool_only	m1_s2	numeric_boundary	0.0	random_20260820_084408.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/thdmtool_only_1.csv	6003	8.185610000000000e+01	3.335880000000000e+02	3.341260000000000e+02	8.262070000000000e+02	2.160020000000000e-01	6.543730000000000e+00
20	qiushi	thdmtool_only	m1_s2	numeric_boundary	0.0	random_20260820_084408.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/thdmtool_only_1.csv	6119	8.255820000000000e+01	3.104850000000000e+02	3.193570000000000e+02	1.045770000000000e+03	2.230110000000000e-01	5.247640000000000e+00
21	qiushi	thdmtool_only	m1_s2	numeric_boundary	0.0	random_20260820_084408.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/thdmtool_only_1.csv	7339	7.615340000000000e+01	2.970700000000000e+02	2.876600000000000e+02	3.413910000000000e+02	2.116630000000000e-01	5.273260000000000e+00
22	office	thdmtool_only	m2_s3	numeric_boundary	0.0	async_mcmc_20260903_212216.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/thdmtool_only_4.csv	9841	1.262255654745220e+02	4.453002810566269e+02	4.354427392790690e+02	1.202522426975031e+03	9.817616348752298e-01	7.893632160738592e+00
23	office	thdmtool_only	m2_s3	numeric_boundary	0.0	random_20260822_004933.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/thdmtool_only.csv	46170	1.257077486259027e+02	4.523950437045142e+02	4.588856067204054e+02	1.165377662282611e+03	9.899825816896600e-01	5.786749966620033e+00
24	office	thdmtool_only	m2_s3	numeric_boundary	0.0	random_20260822_061721.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/thdmtool_only.csv	47161	1.265105527184557e+02	4.670472210352377e+02	4.621038714107134e+02	1.018549008960544e+03	9.573532179412689e-01	1.348301287006265e+01
25	qiushi	thdmtool_only	m2_s3	numeric_boundary	0.0	random_20260815_194920.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/thdmtool_only.csv	2993	1.278300000000000e+02	4.458610000000000e+02	4.493290000000000e+02	1.054500000000000e+03	9.754389999999999e-01	1.450530000000000e+01
26	qiushi	thdmtool_only	m2_s3	numeric_boundary	0.0	random_20260824_004325.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/thdmtool_only_1.csv	11435	1.251830000000000e+02	5.433780000000000e+02	5.363180000000000e+02	2.046720000000000e+03	9.615680000000000e-01	7.339530000000000e+00
27	qiushi	thdmtool_only	m2_s3	numeric_boundary	0.0	random_20260825_210947.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/thdmtool_only_1.csv	12827	1.254790000000000e+02	2.534680000000000e+02	2.408560000000000e+02	1.187440000000000e+03	9.735260000000000e-01	9.954560000000001e+00
28	yuanyuan	thdmtool_only	m2_s3	numeric_boundary	0.0	async_mcmc_20260903_141342.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/thdmtool_only_3.csv	5380	1.270880638624336e+02	4.400135680537972e+02	4.298748826314507e+02	1.364099149168216e+03	9.771421357221441e-01	9.270820998662726e+00
29	yuanyuan	thdmtool_only	m2_s3	numeric_boundary	0.0	random_20260822_062803.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/thdmtool_only_2.csv	3904	1.266960000000000e+02	5.769140000000000e+02	5.792350000000000e+02	2.283320000000000e+03	9.866800000000000e-01	6.581330000000000e+00
30	yuanyuan	thdmtool_only	m2_s3	numeric_boundary	0.0	random_20260824_002709.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/thdmtool_only_3.csv	6727	1.255570000000000e+02	3.150580000000000e+02	3.018900000000000e+02	1.143800000000000e+03	9.757140000000000e-01	9.913069999999999e+00
