yuktype	L1	L2	L3	L4	L5	m12sq	tbeta
1	1.305684478856346e+00	2.564792281446168e-01	6.761295642622510e+00	-3.248473017726268e+00	-3.109215441732577e+00	2.782868628731317e+03	1.102708536079379e+01
1	9.526086096592241e-01	2.538239663512227e-01	6.730012850083301e+00	-3.154926026462568e+00	-3.237032141087416e+00	5.346811930135999e+03	5.764464146728649e+00
1	6.429677339735593e-01	2.553527284630008e-01	6.768115323037945e+00	-3.265792827845849e+00	-3.057431940354736e+00	3.443327738128714e+03	9.377122522557237e+00
1	1.658430166146883e+00	2.563142843267077e-01	6.610793398745307e+00	-3.218899468744745e+00	-3.114889599642106e+00	4.146160805150779e+03	5.657909752055015e+00
1	1.205910659522708e+00	2.546404122169391e-01	6.607685753725461e+00	-3.042239227525133e+00	-3.225779031717661e+00	4.419542677219309e+03	6.267613483637089e+00
1	1.308989492814747e+00	2.546854386639789e-01	6.617587549672779e+00	-3.060591734430874e+00	-3.278021438101730e+00	6.110150752438282e+03	4.575609765237282e+00
1	8.284057949753287e-01	2.551189728856049e-01	6.678460651539235e+00	-3.256713375015839e+00	-3.097342319730702e+00	4.298937624790669e+03	6.112318749412859e+00
1	1.518686937899453e+00	2.557831098991184e-01	6.683124742331082e+00	-3.169434088706436e+00	-3.131947845419032e+00	3.297778622089770e+03	8.649366930656761e+00
1	4.884489477695339e-01	2.563200353523784e-01	6.692402990003789e+00	-3.062129064708033e+00	-2.929633909772531e+00	2.789660131010875e+03	1.300388929110331e+01
1	5.642850104686813e+00	2.487075621084827e-01	2.490802356180642e+00	8.302386635972565e-01	-1.093788185562226e-01	1.041780000000000e+04	1.367370000000000e+01
1	1.362144028855535e+00	2.572539690836715e-01	6.544517573975114e+00	-3.048401187948024e+00	-2.922832280254192e+00	2.091160000000000e+03	1.373350000000000e+01
1	4.847360674945552e+00	2.565352913570750e-01	1.870241875792702e+00	-6.622083978790911e-01	-8.434239152094585e-01	6.500117484659488e+02	1.706544827347408e+01
1	4.191031531821986e+00	2.563073625178049e-01	4.408844144018208e+00	-2.130468658013738e+00	-1.979864922339007e+00	7.801450029133505e+02	1.004695129099604e+01
1	4.106115520886561e+00	2.574461612566629e-01	2.991605094270567e+00	-1.416859477195858e+00	-1.300593852898152e+00	9.943790000000000e+02	1.285860000000000e+01
1	4.490428633312774e+00	2.564571880938888e-01	3.130464333755805e+00	-1.490905110163000e+00	-1.330082144699321e+00	9.136910000000000e+02	1.281350000000000e+01
1	4.921961572446350e+00	2.564492057020323e-01	3.109082700120353e+00	-1.403482047221917e+00	-1.382601940142797e+00	8.057300000000000e+02	1.334280000000000e+01
1	3.830862511792972e+00	2.569866471644643e-01	3.122061264949760e+00	-1.407382485720284e+00	-1.426074528452785e+00	1.002330000000000e+03	1.238380000000000e+01
1	4.617137495376340e+00	2.558011941304817e-01	3.062846260197456e+00	-1.379668969736664e+00	-1.344112057845593e+00	8.264010000000000e+02	1.286970000000000e+01
1	3.701602884982493e+00	2.575679395720882e-01	2.923394502975230e+00	-1.190395210308326e+00	-1.459955138922246e+00	9.930280000000000e+02	1.335770000000000e+01
1	2.772282466330671e+00	2.547607991102012e-01	3.246572285444356e+00	-1.458937877554669e+00	-1.461235017649850e+00	7.088500000000000e+02	8.623830000000000e+00
1	3.686950967610940e+00	2.547427209731102e-01	4.686635808176343e+00	-2.213112911574480e+00	-2.154354929421000e+00	9.277580000000000e+02	9.289210000000001e+00
1	3.635216942141127e+00	2.569944258273872e-01	2.860897470569705e+00	-1.224919180027906e+00	-1.340383913982563e+00	9.579299999999999e+02	1.262630000000000e+01
1	4.619970671118000e+00	2.566510113831038e-01	3.134515931689426e+00	-1.447039817106951e+00	-1.378690135700380e+00	8.760520000000000e+02	1.305350000000000e+01
1	3.199831013232132e+00	2.568068423686802e-01	2.884809813008374e+00	-1.228289276050884e+00	-1.359282708531550e+00	1.013740000000000e+03	1.187540000000000e+01
