sample_id	machine	category	branch	validation_stratum	edge_score	strict_snr	source	file	line	mH	mA	mHc	m12sq	sba	tb
1	office	both	heavy	interior	0.6337331591487185	1.987334481347909	typeI_mH125-220/async_mcmc_20260903_212216.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_13.csv	422	1.770686337088840e+02	4.680775344343457e+02	4.725571224482318e+02	2.782868628731317e+03	9.985879498040423e-01	1.102708536079379e+01
2	office	both	heavy	interior	0.310978741654902	2.42440531287942	typeI_mH125-220/async_mcmc_20260903_212216.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_13.csv	2391	1.808864164621613e+02	4.771176896826277e+02	4.745070315514508e+02	5.346811930135999e+03	9.982248510843618e-01	5.764464146728649e+00
3	office	both	heavy	interior	0.11180356942729665	2.155225975111	typeI_mH125-220/async_mcmc_20260903_212216.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_13.csv	4774	1.809624379048604e+02	4.665611026909511e+02	4.732693168565889e+02	3.443327738128714e+03	9.974870572858979e-01	9.377122522557237e+00
4	office	both	heavy	interior	0.3742507120912203	1.641947574921423	typeI_mH125-220/async_mcmc_20260903_212216.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_13.csv	7397	1.632416066989618e+02	4.611855055581794e+02	4.645849773252049e+02	4.146160805150779e+03	9.982960320511026e-01	5.657909752055015e+00
5	office	both	heavy	interior	0.09848256437313978	2.139563536241526	typeI_mH125-220/async_mcmc_20260903_212216.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_13.csv	8222	1.721017459587035e+02	4.728809245386896e+02	4.669719706763012e+02	4.419542677219309e+03	9.975165441866681e-01	6.267613483637089e+00
6	office	both	heavy	interior	0.5832164473105803	1.769341137243694	typeI_mH125-220/async_mcmc_20260903_115445.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_12.csv	9515	1.788550267681359e+02	4.771433588490705e+02	4.701986781352113e+02	6.110150752438282e+03	9.985311185032244e-01	4.575609765237282e+00
7	office	both	heavy	interior	0.11622208232337894	2.232762605506043	typeI_mH125-220/async_mcmc_20260903_212216.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_13.csv	9518	1.664270898910916e+02	4.630535264972661e+02	4.682315856415199e+02	4.298937624790669e+03	9.979161855324148e-01	6.112318749412859e+00
8	office	both	heavy	interior	0.020197805459728595	1.641487283899978	typeI_mH125-220/async_mcmc_20260903_212216.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_13.csv	10764	1.725312885726833e+02	4.673734343753025e+02	4.685853027028862e+02	3.297778622089770e+03	9.976741374078965e-01	8.649366930656761e+00
9	office	both	heavy	interior	0.07192052117283368	3.753565388082663	typeI_mH125-220/async_mcmc_20260903_212216.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_12.csv	12133	1.909450264428597e+02	4.623642311504114e+02	4.666794624207814e+02	2.789660131010875e+03	9.951589811634414e-01	1.300388929110331e+01
10	qiushi	both	heavy	interior	0.6442499999999995	54.69156506598905	typeI_mH220-500/random_20260816_071725.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both.csv	2521	3.799660000000000e+02	3.870800000000000e+02	3.484250000000000e+02	1.041780000000000e+04	9.948110000000000e-01	1.367370000000000e+01
11	qiushi	both	heavy	interior	0.06948333333333305	1.167733380225236	typeI_mH125-220/random_20260825_210947.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both_1.csv	7257	1.707830000000000e+02	4.535960000000000e+02	4.577650000000000e+02	2.091160000000000e+03	9.946130000000000e-01	1.373350000000000e+01
12	office	both	light	interior	0.1874854686368001	1.073079042368043	typeI_mH62-125/random_20260901_123251.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_9.csv	6991	1.094577839432097e+02	2.493420800196095e+02	2.380929519014015e+02	6.500117484659488e+02	1.202009561215202e-01	1.706544827347408e+01
13	office	both	light	interior	0.10532387405432075	1.415863460805451	typeI_mH62-125/random_20260831_095833.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_8.csv	11093	1.006837605906030e+02	3.573922696538440e+02	3.637117020971032e+02	7.801450029133505e+02	8.724923117180766e-02	1.004695129099604e+01
