yuktype	L1	L2	L3	L4	L5	m12sq	tbeta
1	3.354862670917602e+00	2.464189891685605e-01	5.499583876576308e-01	9.868034696302680e-01	-1.158661811755611e+00	7.576145536250787e+03	4.512916619256540e+00
1	7.446325629432632e+00	2.409720063830992e-01	2.256897569049328e+00	-3.844406595721853e-01	8.756260986473281e-01	1.444118394204443e+04	1.262318793318832e+01
1	4.163805873257166e+00	2.527704678574488e-01	4.571179460070073e-01	6.375242919472123e-01	-7.127667134440879e-01	5.820810202440740e+03	6.696412353960524e+00
1	1.168669693256994e+00	2.515436230289519e-01	6.068007230521332e+00	-2.918131116314976e+00	-2.704245040566413e+00	6.182560000000000e+03	6.743430000000000e+00
1	1.371589934915599e+00	2.553517046481648e-01	1.120625794814179e+00	-3.482063699978685e-01	-2.281153384690166e-01	3.256250000000000e+03	1.015630000000000e+01
1	1.681496377884104e+00	2.488588678793444e-01	2.982413027008101e+00	-1.165938761294518e+00	-1.465270029719398e+00	5.003310000000000e+02	5.961060000000000e+00
1	2.020301182250766e+00	2.438132038784610e-01	3.510066084747868e+00	-1.397491749780765e+00	-1.716498684839261e+00	4.563270000000000e+02	6.090060000000000e+00
1	1.279342026474285e+00	2.477157195415124e-01	2.879487563180657e+00	-1.239399523217704e+00	-1.289774501041751e+00	4.987840000000000e+02	5.433190000000000e+00
1	2.657868233795626e+00	2.582776128672002e-01	2.471689970637337e+00	-1.223688236359776e+00	-1.069974973090558e+00	6.398120000000000e+02	4.310080000000000e+00
1	1.961655329784750e+00	2.568943483508438e-01	5.627798901760947e+00	-2.498236091045600e+00	-2.786699248758668e+00	2.448686786685661e+03	9.020179760531374e+00
1	7.891131805217334e+00	2.412258550520643e-01	1.206078763715934e+00	2.360563406480584e+00	-2.666771342226285e+00	1.439706451565180e+04	7.973871059729826e+00
1	2.159085497251402e+00	2.483866722839007e-01	3.167494010922406e+00	1.082193010509957e+00	-1.225124356623105e+00	1.022304398179166e+04	1.426710045259313e+01
1	4.925159937596437e+00	2.342935688002778e-01	8.035116791899718e+00	-3.553364819185487e+00	-3.428661218947534e+00	1.291710000000000e+04	6.713070000000000e+00
1	6.568615888847430e+00	2.568853056265661e-01	5.793142939084503e+00	-2.730726728667673e+00	-2.771976477263085e+00	7.078770000000000e+02	1.197510000000000e+01
1	1.354054101608014e+00	2.476246330404059e-01	3.215537287756997e+00	-1.331378978403423e+00	-1.475958491028184e+00	6.004390000000000e+02	6.905140000000000e+00
1	8.496414673588780e-01	2.479733396051678e-01	3.014573028230408e+00	-1.135063771342109e+00	-1.455272985434250e+00	5.638560000000000e+02	7.133680000000000e+00
1	5.305314429633870e+00	2.531506225104483e-01	4.636752363208675e+00	-2.187689863117511e+00	-2.171264123808899e+00	7.697820000000000e+02	7.564030000000000e+00
1	2.891605972108318e+00	2.559409190984105e-01	7.212239626510955e+00	-3.356626402593453e+00	-3.593687336263887e+00	3.506560000000000e+02	6.533670000000000e+00
1	3.321894177288913e+00	2.570972548257402e-01	1.026088500036564e+01	-4.969409386873399e+00	-4.974795637517859e+00	7.526630000000000e+02	1.394270000000000e+01
1	3.025511763727239e+00	2.538635467789540e-01	7.868147942457371e+00	-3.840024227918453e+00	-3.654706072058845e+00	3.081440000000000e+02	9.392530000000001e+00
1	6.684282919151196e+00	2.563666545603511e-01	3.067071116898386e+00	-1.343006265497244e+00	-1.411124696160210e+00	7.676020000000000e+02	1.294080000000000e+01
1	1.000790449688333e+00	2.506302458786860e-01	4.166540950859352e+00	-1.981825014255680e+00	-1.797990644336981e+00	6.948070000000000e+02	7.261320000000000e+00
1	4.978917023034953e+00	2.538642770544354e-01	2.804846744702322e+00	-1.274567078055337e+00	-1.347550477189451e+00	9.162340000000000e+01	5.300620000000000e+00
1	2.491856167415194e+00	2.547561434567198e-01	5.411281589121508e+00	-2.468619513809178e+00	-2.538226689564349e+00	5.571580000000000e+02	1.214280000000000e+01
