input_row	diagnostic
1	region-v2: exact_nlo_success:runtime=0.19900000000000001:continue_region_v1
1	region-v1: accepted_early_failure:coexistence:no_coex_pair
2	region-v2: exact_nlo_success:runtime=0.20899999999999999:continue_region_v1
2	region-v1: accepted_early_failure:coexistence:no_coex_pair
3	region-v2: exact_nlo_success:runtime=0.17999999999999999:continue_region_v1
3	region-v1: accepted_early_failure:coexistence:no_coex_pair
4	region-v2: exact_nlo_success:runtime=0.20399999999999999:continue_region_v1
4	region-v1: accepted_early_failure:coexistence:no_coex_pair
5	region-v2: exact_nlo_success:runtime=0.224:continue_region_v1
5	region-v1: accepted_early_failure:coexistence:no_coex_pair
6	region-v2: exact_nlo_success:runtime=0.17499999999999999:continue_region_v1
6	region-v1: accepted_early_failure:coexistence:no_coex_pair
7	region-v2: exact_nlo_success:runtime=0.17299999999999999:continue_region_v1
7	region-v1: accepted_early_failure:coexistence:no_coex_pair
8	region-v2: exact_nlo_success:runtime=0.17999999999999999:continue_region_v1
8	region-v1: accepted_early_failure:coexistence:no_coex_pair
9	region-v2: exact_nlo_success:runtime=0.21099999999999999:continue_region_v1
9	region-v1: accepted_early_failure:coexistence:no_coex_pair
10	region-v2: exact_nlo_success:runtime=0.19:continue_region_v1
10	region-v1: accepted_early_failure:coexistence:no_coex_pair
11	region-v2: exact_nlo_success:runtime=0.19700000000000001:continue_region_v1
11	region-v1: accepted_early_failure:coexistence:no_coex_pair
12	region-v2: exact_nlo_success:runtime=0.17699999999999999:continue_region_v1
12	region-v1: accepted_early_failure:coexistence:no_coex_pair
