input_row	diagnostic
1	region-v2: exact_nlo_success:runtime=0.16900000000000001:continue_region_v1
1	region-v1: exact fallback: fallback_coexistence_outside_certified_region:coexistence:no_coex_pair
2	region-v2: exact_nlo_success:runtime=0.16900000000000001:continue_region_v1
2	region-v1: exact fallback: fallback_coexistence_outside_certified_region:coexistence:no_coex_pair
3	region-v2: exact_nlo_success:runtime=0.17399999999999999:continue_region_v1
3	region-v1: exact fallback: fallback_coexistence_outside_certified_region:coexistence:no_coex_pair
4	region-v2: exact_nlo_success:runtime=0.193:continue_region_v1
4	region-v1: exact fallback: fallback_coexistence_outside_certified_region:coexistence:no_coex_pair
5	region-v2: exact_nlo_success:runtime=0.17699999999999999:continue_region_v1
5	region-v1: exact fallback: fallback_coexistence_outside_certified_region:coexistence:no_coex_pair
6	region-v2: exact_nlo_success:runtime=0.192:continue_region_v1
6	region-v1: exact fallback: fallback_coexistence_outside_certified_region:coexistence:no_coex_pair
7	region-v2: exact_nlo_success:runtime=0.19600000000000001:continue_region_v1
7	region-v1: exact fallback: fallback_coexistence_outside_certified_region:coexistence:no_coex_pair
8	region-v2: exact_nlo_success:runtime=0.17999999999999999:continue_region_v1
8	region-v1: exact fallback: fallback_coexistence_outside_certified_region:coexistence:no_coex_pair
9	region-v2: exact_nlo_success:runtime=0.19800000000000001:continue_region_v1
9	region-v1: accepted_early_failure:coexistence:no_coex_pair
10	region-v2: exact_nlo_success:runtime=0.19400000000000001:continue_region_v1
10	region-v1: accepted_early_failure:coexistence:no_coex_pair
11	region-v2: exact_nlo_success:runtime=0.17199999999999999:continue_region_v1
11	region-v1: accepted_early_failure:coexistence:no_coex_pair
12	region-v2: exact_nlo_success:runtime=0.184:continue_region_v1
12	region-v1: exact fallback: fallback_coexistence_outside_certified_region:coexistence:no_coex_pair
