input_row	diagnostic
1	region-v2: exact_nlo_success:runtime=0.20599999999999999:continue_region_v1
1	region-v1: accepted_early_failure:coexistence:no_coex_pair
2	region-v2: exact_nlo_success:runtime=0.20599999999999999:continue_region_v1
2	region-v1: accepted_early_failure:coexistence:no_coex_pair
3	region-v2: exact_nlo_success:runtime=0.214:continue_region_v1
3	region-v1: accepted_early_failure:coexistence:no_coex_pair
4	region-v2: exact_nlo_success:runtime=0.23300000000000001:continue_region_v1
4	region-v1: accepted_early_failure:coexistence:no_coex_pair
5	region-v2: exact_nlo_success:runtime=0.19600000000000001:continue_region_v1
5	region-v1: accepted_early_failure:coexistence:no_coex_pair
6	region-v2: exact_nlo_success:runtime=0.19800000000000001:continue_region_v1
6	region-v1: accepted_early_failure:coexistence:no_coex_pair
