input_row	diagnostic
1	region-v2: exact_nlo_success:runtime=0.19:continue_region_v1
1	region-v1: accepted_positive_all_three_shadow
2	region-v2: exact_nlo_success:runtime=0.192:continue_region_v1
2	region-v1: accepted_positive_all_three_shadow
3	region-v2: exact_nlo_success:runtime=0.16400000000000001:continue_region_v1
3	region-v1: accepted_positive_all_three_shadow
4	region-v2: exact_nlo_success:runtime=0.16300000000000001:continue_region_v1
4	region-v1: accepted_positive_all_three_shadow
5	region-v2: exact_nlo_success:runtime=0.186:continue_region_v1
5	region-v1: accepted_positive_all_three_shadow
6	region-v2: exact_nlo_success:runtime=0.184:continue_region_v1
6	region-v1: accepted_positive_all_three_shadow
