input_row	diagnostic
1	region-v2: exact_nlo_success:runtime=0.45500000000000002:continue_region_v1
1	region-v1: exact fallback: fallback_late_failure:bounce_0:failure
2	region-v2: exact_nlo_success:runtime=0.40999999999999998:continue_region_v1
2	region-v1: exact fallback: fallback_late_failure:bounce_0:failure
3	region-v2: exact_nlo_success:runtime=0.42299999999999999:continue_region_v1
3	region-v1: exact fallback: fallback_late_failure:nucleation_approx_0:not_met
4	region-v2: exact_nlo_success:runtime=0.34300000000000003:continue_region_v1
4	region-v1: exact fallback: fallback_late_failure:bounce_0:failure
5	region-v2: exact_nlo_success:runtime=0.41599999999999998:continue_region_v1
5	region-v1: exact fallback: fallback_late_failure:nucleation_approx_0:not_met
6	region-v2: exact_nlo_success:runtime=0.40500000000000003:continue_region_v1
6	region-v1: exact fallback: fallback_late_failure:bounce_0:failure
7	region-v2: exact_nlo_success:runtime=0.47899999999999998:continue_region_v1
7	region-v1: exact fallback: fallback_late_failure:bounce_0:failure
8	region-v2: exact_nlo_success:runtime=0.372:continue_region_v1
8	region-v1: exact fallback: fallback_late_failure:nucleation_approx_0:not_met
