row	strict_class	raw_approx_class	raw_error_kind	strict_failure_stage	raw_approx_failure_stage	raw_qualitative_match	secondary_max_snr_relative_error	secondary_max_snr_field	secondary_snr_fields_compared
1	positive	positive	none	positive	positive	true	0.03340995182544071	SNR(LISA-3yrs)_turb_0	3
2	positive	positive	none	positive	positive	true	0.030351484471382542	SNR(LISA-3yrs)_turb_0	3
3	positive	positive	none	positive	positive	true	0.03971088242460951	SNR(LISA-3yrs)_turb_0	3
4	positive	positive	none	positive	positive	true	0.20329742152653985	SNR(LISA-3yrs)_sw_0	3
5	positive	positive	none	positive	positive	true	0.027189551654199114	SNR(LISA-3yrs)_turb_0	3
6	positive	positive	none	positive	positive	true	0.05899016186980546	SNR(LISA-3yrs)_sw_0	3
7	positive	positive	none	positive	positive	true	0.04221070365972936	SNR(LISA-3yrs)_turb_0	3
8	positive	positive	none	positive	positive	true	0.03805459436740307	SNR(LISA-3yrs)_turb_0	3
9	positive	positive	none	positive	positive	true	0.029027114158557337	SNR(LISA-3yrs)_turb_0	3
10	positive	positive	none	positive	positive	true	0.03711718502703514	SNR(LISA-3yrs)_turb_0	3
11	positive	positive	none	positive	positive	true	0.03899554266596984	SNR(LISA-3yrs)_turb_0	3
12	positive	positive	none	positive	positive	true	0.03215825074282126	SNR(LISA-3yrs)_turb_0	3
13	positive	positive	none	positive	positive	true	0.027609365268610735	SNR(LISA-3yrs)_turb_0	3
14	positive	positive	none	positive	positive	true	0.03424542780452856	SNR(LISA-3yrs)_sw_0	3
15	positive	positive	none	positive	positive	true	0.0446843847731397	SNR(LISA-3yrs)_turb_0	3
16	positive	positive	none	positive	positive	true	0.03450719566030093	SNR(LISA-3yrs)_turb_0	3
17	positive	positive	none	positive	positive	true	0.038212569656924454	SNR(LISA-3yrs)_turb_0	3
18	positive	positive	none	positive	positive	true	0.045476964694080524	SNR(LISA-3yrs)_turb_0	3
19	positive	positive	none	positive	positive	true	0.02764732323411388	SNR(LISA-3yrs)_turb_0	3
20	positive	positive	none	positive	positive	true	0.03801497676435258	SNR(LISA-3yrs)_turb_0	3
21	positive	positive	none	positive	positive	true	0.0425477088577888	SNR(LISA-3yrs)_turb_0	3
22	positive	positive	none	positive	positive	true	0.03765692771239621	SNR(LISA-3yrs)_turb_0	3
