yuktype	L1	L2	L3	L4	L5	m12sq	tbeta	Dm11sq	Dm22sq	Dm12sq	DL1	DL2	DL3	DL4	DL5	DT1	DT2	DT3	status_nlo_stability	status_ewsr	status_tracing	status_coex_pairs	runtime	status_crit_0	T_crit_0	omega_CB_crit_false_0	omega_1_crit_false_0	omega_2_crit_false_0	omega_CP_crit_false_0	omega_CB_crit_true_0	omega_1_crit_true_0	omega_2_crit_true_0	omega_CP_crit_true_0	status_bounce_sol_0	status_nucl_approx_0	T_nucl_approx_0	omega_CB_nucl_approx_false_0	omega_1_nucl_approx_false_0	omega_2_nucl_approx_false_0	omega_CP_nucl_approx_false_0	omega_CB_nucl_approx_true_0	omega_1_nucl_approx_true_0	omega_2_nucl_approx_true_0	omega_CP_nucl_approx_true_0	status_nucl_0	T_nucl_0	omega_CB_nucl_false_0	omega_1_nucl_false_0	omega_2_nucl_false_0	omega_CP_nucl_false_0	omega_CB_nucl_true_0	omega_1_nucl_true_0	omega_2_nucl_true_0	omega_CP_nucl_true_0	status_perc_0	T_perc_0	omega_CB_perc_false_0	omega_1_perc_false_0	omega_2_perc_false_0	omega_CP_perc_false_0	omega_CB_perc_true_0	omega_1_perc_true_0	omega_2_perc_true_0	omega_CP_perc_true_0	status_compl_0	T_compl_0	omega_CB_compl_false_0	omega_1_compl_false_0	omega_2_compl_false_0	omega_CP_compl_false_0	omega_CB_compl_true_0	omega_1_compl_true_0	omega_2_compl_true_0	omega_CP_compl_true_0	status_gw_0	T_star_0	T_reh_0	v_wall_0	alpha_PT_0	beta/H_0	kappa_col_0	kappa_sw_0	eps_turb_0	cs_f_0	cs_t_0	fb_col_0	h2Omegab_col_0	f_1_sw_0	f_2_sw_0	h2Omega_2_sw_0	f_1_turb_0	f_2_turb_0	h2Omega_2_turb_0	SNR(LISA-3yrs)_col_0	SNR(LISA-3yrs)_sw_0	SNR(LISA-3yrs)_turb_0	SNR(LISA-3yrs)_0	transition_history
1	0.81419042065129499	0.2726866425670808	3.9646066758121505	-1.79413241138903	-2.0476323251471253	1386.0546826016782	3.337036301464257	8208.0451017168816	3896.151817004989	775.15438828598201	-0.65048555332850977	-0.14267426303982586	-0.06749661925040594	0	-0.0080895637533043747	0	0	0	success	ew_sym_res	success	success	30.023	success	119.81991496059342	0	0	0	0	2.8865949008862456e-10	64.550992548651195	182.70812955680714	6.5203131501681703e-10	success	success	113.5008744696016	0	0	0	0	1.2701271418366815e-10	68.366438476167545	196.84667745957381	3.3480255074493953e-10	success	113.76706983479758	0	0	0	0	-3.0313593821829366e-10	68.2566965956904	196.36712772747219	-3.5579268233953552e-10	success	112.93060959546193	0	0	0	0	2.6648291150145408e-10	68.591234346579697	197.84960169067531	2.7068281132106187e-10	success	112.84256403369827	0	0	0	0	2.6435881127587044e-10	68.62474022204232	198.00158521287028	-1.6590451244791498e-10	success	112.93060959546193	112.93060959546193	0.94999999999999996	0.009386883101353315	3250.3348711504514	0	0.014267825644989927	0.10000000000000001	0.5772793262525695	0.57368689788161831	0.0067369494564678929	0	0.0030004780706425231	0.018936718859005424	1.011350372765285e-18	1.8329368211482643e-05	0.03300525877706776	6.9868012236748554e-24	0	1.2203574407311815e-05	1.2153863351718752e-10	1.2203690673758582e-05	0-(0)->1
1	0.814290420651295	0.27258664256708082	3.9646066758121505	-1.79413241138903	-2.0476323251471253	1386.0546826016782	3.337036301464257	8208.4203328881631	3896.1439122382749	775.22425764435718	-0.65053196171201932	-0.14267537768570204	-0.067494616164558499	0	-0.008090357101878878	0	0	0	success	ew_sym_res	success	success	29.329000000000001	success	119.79966051223508	0	0	0	0	3.9340782889162636e-10	64.558597984519025	182.72567697247342	7.8736294448869272e-11	success	success	113.47652670413198	0	0	0	0	-1.1625185249187519e-10	68.372506129448851	196.8677919220556	5.0589983272643034e-11	success	113.74292384505051	0	0	0	0	-1.1843837986056204e-10	68.262823785006233	196.38809431882163	-3.3231687177117108e-10	success	112.90602677457031	0	0	0	0	-7.0362227298252044e-11	68.597096808518145	197.87067517967429	-6.3047005134503012e-10	success	112.81792212904293	0	0	0	0	1.5206278430654786e-11	68.630580069832149	198.02269140262729	1.1389776839442547e-10	success	112.90602677457031	112.90602677457031	0.94999999999999996	0.0093933192497219833	3247.0700978027203	0	0.014277286410803546	0.10000000000000001	0.57727928005503282	0.57368546091307593	0.0067287034071308819	0	0.0029969858808981281	0.018914606606493408	1.0152573130061167e-18	1.8320323023371429e-05	0.032966844689879413	7.0188567225308595e-24	0	1.2273174172297059e-05	1.222311961975261e-10	1.2273291112490802e-05	0-(0)->1
1	0.814290420651295	0.2726866425670808	3.9650031364797318	-1.79413241138903	-2.0476323251471253	1386.0546826016782	3.337036301464257	8208.7483191770298	3896.885842100678	775.23258890227453	-0.65053291546543612	-0.14269363976750743	-0.067503353186208384	0	-0.0080889732585141382	0	0	0	success	ew_sym_res	success	success	27.626999999999999	success	119.82885119796117	0	0	0	0	-1.6296221599631213e-10	64.589577578535909	182.70357250503568	1.1332876358848994e-10	success	success	113.50559880864222	0	0	0	0	-2.2049014461790227e-11	68.397494804205593	196.84632592286451	-2.1700412760745849e-11	success	113.77199515433391	0	0	0	0	-1.937825052467678e-10	68.28804200091885	196.36657196825908	-6.1990270899708091e-11	success	112.93499224591071	0	0	0	0	7.1754981797218823e-11	68.621640676747035	197.8495228025686	3.044394987940317e-10	success	112.84687644381226	0	0	0	0	5.2125997614230268e-11	68.655053652555253	198.0015782478529	-2.8164284018555988e-10	success	112.93499224591071	112.93499224591071	0.94999999999999996	0.0093873418026271874	3247.6033214116933	0	0.014268553654933283	0.10000000000000001	0.57727943416959404	0.57368726409217763	0.0067315515405143213	0	0.0029981912241362585	0.018922304450168351	1.0129798270400331e-18	1.8316308895096044e-05	0.032980103465498845	6.9993984890259203e-24	0	1.2237860149451139e-05	1.2184585764538648e-10	1.2237976717118745e-05	0-(0)->1
1	0.814290420651295	0.2726866425670808	3.9646066758121505	-1.7939529981478912	-2.0476323251471253	1386.0546826016782	3.337036301464257	8207.7518105655599	3896.1771082838577	775.07560814457622	-0.65041898586278968	-0.14267167553693563	-0.067490591106854306	0	-0.0080943129613348479	0	0	0	success	ew_sym_res	success	success	27.088999999999999	success	119.82505268675536	0	0	0	0	-4.4127995253290814e-11	64.567293220282167	182.70266512241091	1.0371246500069079e-11	success	success	113.50476438288803	0	0	0	0	6.1350600720228574e-11	68.379422290675336	196.84296965636207	5.5140605726668349e-11	success	113.77103219981447	0	0	0	0	3.5044224480854745e-11	68.269801135756225	196.3633131729874	2.3067959568971524e-10	success	112.93440023978623	0	0	0	0	1.0395480357206493e-10	68.603939696791201	197.8460206398571	1.44828097645946e-10	success	112.84633007895471	0	0	0	0	-2.8584966831711767e-10	68.637406510166628	197.99803964256333	-2.1581193437418631e-10	success	112.93440023978623	112.93440023978623	0.94999999999999996	0.0093863811916269982	3249.1751428599564	0	0.014267108907541627	0.10000000000000001	0.57727939541808693	0.57368719362522502	0.0067347739284623854	0	0.002999648619870727	0.018931498879413432	1.0117519256275104e-18	1.8323355655216948e-05	0.032996134818577993	6.9896920389047467e-24	0	1.221370944550238e-05	1.2162081225496867e-10	1.2213825793214034e-05	0-(0)->1
1	0.814290420651295	0.2726866425670808	3.9646066758121505	-1.79413241138903	-2.0474275619146107	1386.0546826016782	3.337036301464257	8207.5577753820726	3895.865186500906	775.13246675233347	-0.65044035530267408	-0.14265795999352684	-0.067480405739808083	0	-0.0080845074346859794	0	0	0	success	ew_sym_res	success	success	24.858000000000001	success	119.82669338536999	0	0	0	0	3.4132134789600276e-10	64.567964444445678	182.69790883297733	2.9183705644691049e-10	success	success	113.5071075782798	0	0	0	0	2.3393110192001925e-10	68.379895011328031	196.83815841719999	3.1354873569277123e-10	success	113.77330118618013	0	0	0	0	3.6228121248135451e-11	68.270298099972962	196.3585798389249	-1.478738322611976e-10	success	112.93674435065327	0	0	0	0	1.5695245406111401e-10	68.604424777683036	197.84132524497966	-1.997395663520096e-10	success	112.84868417643079	0	0	0	0	-1.018334901941169e-10	68.637889583616555	197.99334469905421	1.554279417734452e-10	success	112.93674576076526	112.93674576076526	0.94999999999999996	0.0093855920199796463	3249.3625394347487	0	0.014265945612372976	0.10000000000000001	0.57727942403389976	0.5736873417038818	0.0067353035886647192	0	0.0029998946214926589	0.018933058904541663	1.0113737751613424e-18	1.8323348100930483e-05	0.032998840836419248	6.9865323467065735e-24	0	1.2207568294193566e-05	1.2155637756103958e-10	1.2207684579477458e-05	0-(0)->1
1	0.814290420651295	0.2726866425670808	3.9646066758121505	-1.79413241138903	-2.0476323251471253	1386.0546826016782	3.3367025978341105	8207.9774235285604	3896.174376199644	775.17753160109351	-0.65035093454285553	-0.14267552534081795	-0.067501346103288409	0	-0.0080887802760933845	0	0	0	success	ew_sym_res	success	success	24.129000000000001	success	119.81941968105806	0	0	0	0	-2.2249986728805858e-10	64.558668002202268	182.707673648644	-2.5717377446016049e-10	success	success	113.49978609579296	0	0	0	0	-1.0792771702437009e-10	68.373933680389996	196.84658970384206	-2.3449568230696491e-10	success	113.76600939200387	0	0	0	0	-3.0059703490844548e-10	68.264199835303174	196.36702252286875	-1.424654886136684e-10	success	112.92947780937584	0	0	0	0	1.3157181472828863e-10	68.598705714811928	197.8495215494691	2.0315814045795932e-11	success	112.84142117367028	0	0	0	0	2.1620286523329262e-10	68.632209589513721	198.00151376676723	-1.401570199725796e-10	success	112.92947780937584	112.92947780937584	0.94999999999999996	0.0093872494565616187	3249.652610011246	0	0.014268369584464723	0.10000000000000001	0.57727933451526714	0.57368686324533469	0.0067354671832825447	0	0.0029998802393134041	0.018932944063056303	1.0118210574289936e-18	1.8326419776269606e-05	0.032998682632447443	6.9905196198176358e-24	0	1.221307447433202e-05	1.2162630392166862e-10	1.2213190826557978e-05	0-(0)->1
1	0.81428539808683376	0.27271435008467326	3.9646005342533042	-1.7940774645155089	-2.0476515227423437	1386.1475502187307	3.3368336020002105	8207.8279162873514	3896.1904981311645	775.10144258240587	-0.65035926238720598	-0.14267545925238254	-0.067503043748463457	0	-0.0080902971445837909	0	0	0	success	ew_sym_res	success	success	23.998999999999999	success	119.82647380258686	0	0	0	0	-7.6304163829413318e-11	64.555870805244865	182.70188900688788	-2.7553567835633789e-10	success	success	113.50805896560469	0	0	0	0	-1.8541867538244019e-10	68.371051787197189	196.83991851828335	2.5750296411694651e-10	success	113.7742193414586	0	0	0	0	-2.5721981521904815e-11	68.261320182418231	196.36039257362017	2.2451605924631383e-10	success	112.93782641976738	0	0	0	0	2.1408735004874742e-10	68.595843429928053	197.84286970215791	2.1863631806377233e-10	success	112.84978144179203	0	0	0	0	-4.4006332155614721e-10	68.629350331491111	197.99486505715859	2.3879656461290247e-10	success	112.93782641976738	112.93782641976738	0.94999999999999996	0.0093850635305244047	3250.3545377924956	0	0.014265158849576335	0.10000000000000001	0.57727935603649205	0.57368737344902176	0.0067374249002203016	0	0.003000716261604257	0.018938246071168362	1.0107108591865577e-18	1.8327350050026247e-05	0.033007878877646828	6.9812913216387484e-24	0	1.2194322695036722e-05	1.2143364199855829e-10	1.2194438860283938e-05	0-(0)->1
1	0.81431751230431748	0.27272806035795094	3.9645482797721945	-1.7941236826741211	-2.0475642463308046	1385.9477064753974	3.3370888303311368	8207.733097734801	3895.9475154296883	775.07620242592634	-0.65044491284513384	-0.14266458504608143	-0.067495097562250389	0	-0.0080874140773626139	0	0	0	success	ew_sym_res	success	success	22.922999999999998	success	119.83024162871219	0	0	0	0	2.5169411901786849e-10	64.548158268455495	182.69829401105002	-3.5613831959109581e-10	success	success	113.51311107787259	0	0	0	0	2.6232018226183487e-10	68.363810800904815	196.83548897570668	5.8885339721237046e-11	success	113.77921356701502	0	0	0	0	2.8238655131426202e-10	68.254057865491689	196.35599165142253	6.9655325266911749e-11	success	112.94295190376303	0	0	0	0	1.9767068936033221e-10	68.588667894631016	197.83846957887394	-1.0196774453563977e-10	success	112.85492726140801	0	0	0	0	-1.6103739732945855e-10	68.622181334089305	197.99045385346662	-2.4140170360949797e-10	success	112.94295190376303	112.94295190376303	0.94999999999999996	0.0093835139065852474	3251.1445372555954	0	0.01426287663913562	0.10000000000000001	0.57727937767877002	0.57368768227241473	0.0067393712235095599	0	0.0030016290945194283	0.018944022727005905	1.009715900275771e-18	1.8329959366536317e-05	0.033017920039713711	6.9731646846552722e-24	0	1.2176492913301238e-05	1.2125729526588829e-10	1.2176608906940887e-05	0-(0)->1
1	0.81434462150014397	0.27269214679302545	3.9644686231940649	-1.7941847625457894	-2.0476436515721046	1386.1455680961692	3.337120579352153	8207.9872037445766	3895.8965600603724	775.06595642952811	-0.65047300184696022	-0.1426688145967758	-0.067508372732410185	0	-0.0080871339439021681	0	0	0	success	ew_sym_res	success	success	24.449999999999999	success	119.81779829987161	0	0	0	0	-1.385854797228685e-10	64.529278601604631	182.71039857495222	-9.4318074292560422e-11	success	success	113.50099949499071	0	0	0	0	1.3440279987074518e-10	68.348364156415528	196.84659644391712	-1.8335586201525006e-10	success	113.76708863767455	0	0	0	0	1.3862275574041981e-10	68.238477348440668	196.36715408963187	4.7567037459047021e-11	success	112.93091359823222	0	0	0	0	-4.4966101055770939e-11	68.573488079686129	197.84938009116064	-3.1201222930977935e-10	success	112.84289834706578	0	0	0	0	2.5353248420186021e-10	68.607043253411035	198.00133746481703	2.1601537637958392e-10	success	112.93091359823222	112.93091359823222	0.94999999999999996	0.0093858994049905373	3251.2015441527105	0	0.01426635959027739	0.10000000000000001	0.57727928070204426	0.57368694269916343	0.0067387641197268798	0	0.003001363546311895	0.018942309559012223	1.0104819459813669e-18	1.8332883685906636e-05	0.033014999009430841	6.9798324389710863e-24	0	1.2187447416439271e-05	1.2138342845703315e-10	1.218756353158737e-05	0-(0)->1
1	0.81432994596925279	0.2727414737663395	3.9646109901255238	-1.7942180866892925	-2.0477324926108924	1386.0805608278524	3.3371037169449225	8208.3668758913263	3896.2841901393012	775.08118363657718	-0.65048864531046657	-0.1426825194438367	-0.067521442365785722	0	-0.0080876828404435781	0	0	0	success	ew_sym_res	success	success	23.797000000000001	success	119.82725410862288	0	0	0	0	-3.4778479245660477e-10	64.529791359463601	182.70576955985942	2.2936005951431134e-10	success	success	113.511272607606	0	0	0	0	-2.7679031474714184e-10	68.348973404403367	196.84074677903666	-7.5055321050686375e-11	success	113.77731874149643	0	0	0	0	2.4050588509741401e-10	68.239083787173172	196.36135043894845	-8.9857136782483638e-11	success	112.94122284114192	0	0	0	0	2.8206881744182123e-10	68.57412559336305	197.84353439101392	8.605433528895809e-11	success	112.85321802647562	0	0	0	0	-4.8936315825193965e-10	68.607683167547265	197.99548414879658	-2.7110083006657563e-10	success	112.94122284114192	112.94122284114192	0.94999999999999996	0.0093835616714642543	3251.8582325537063	0	0.014262933120016929	0.10000000000000001	0.57727929261787558	0.57368755177969921	0.0067407464665460853	0	0.0030022624626195476	0.018948013499003793	1.0093165966302523e-18	1.8333909666163094e-05	0.033024887088815021	6.970134914545011e-24	0	1.2167650486181862e-05	1.2118035395906609e-10	1.216776640420245e-05	0-(0)->1
