input_row	diagnostic
1	region-v2: exact_nlo_success:runtime=0.374:continue_region_v1
1	region-v1: accepted_late_failure_low_temperature_count:bounce_0:failure:temperatures=4
2	region-v2: exact_nlo_success:runtime=0.375:continue_region_v1
2	region-v1: accepted_late_failure_low_temperature_count:bounce_0:failure:temperatures=4
3	region-v2: exact_nlo_success:runtime=0.38300000000000001:continue_region_v1
3	region-v1: accepted_late_failure_low_temperature_count:bounce_0:failure:temperatures=4
4	region-v2: exact_nlo_success:runtime=0.39200000000000002:continue_region_v1
4	region-v1: accepted_late_failure_low_temperature_count:bounce_0:failure:temperatures=4
5	region-v2: exact_nlo_success:runtime=0.32600000000000001:continue_region_v1
5	region-v1: accepted_late_failure_low_temperature_count:bounce_0:failure:temperatures=4
6	region-v2: exact_nlo_success:runtime=0.40400000000000003:continue_region_v1
6	region-v1: accepted_late_failure_low_temperature_count:bounce_0:failure:temperatures=4
