input_row	diagnostic
1	region-v1: accepted_early_failure:coexistence:no_coex_pair
2	region-v1: accepted_early_failure:nlo:no_nlo_stability
3	region-v1: accepted_positive_shadow
4	region-v1: accepted_early_failure:coexistence:no_coex_pair
5	region-v1: accepted_positive_shadow
6	region-v1: accepted_positive_shadow
7	region-v1: accepted_early_failure:coexistence:no_coex_pair
8	region-v1: accepted_positive_shadow
9	region-v1: accepted_positive_shadow
10	region-v1: accepted_early_failure:coexistence:no_coex_pair
