input_row	diagnostic
1	region-v2: exact_nlo_success:continue_region_v1
1	region-v1: accepted_positive_all_three_shadow
2	region-v2: exact_nlo_success:continue_region_v1
2	region-v1: accepted_positive_all_three_shadow
3	region-v2: exact_nlo_success:continue_region_v1
3	region-v1: accepted_positive_all_three_shadow
4	region-v2: exact_nlo_success:continue_region_v1
4	region-v1: direct exact: known_exact_region:nlo_valid_legacy_shadow_rejects_true_positive
5	region-v2: exact_nlo_success:continue_region_v1
5	region-v1: accepted_positive_all_three_shadow
