yuktype	L1	L2	L3	L4	L5	m12sq	tbeta	Dm11sq	Dm22sq	Dm12sq	DL1	DL2	DL3	DL4	DL5	DT1	DT2	DT3	status_nlo_stability	status_ewsr	status_tracing	status_coex_pairs	runtime	status_crit_0	T_crit_0	omega_CB_crit_false_0	omega_1_crit_false_0	omega_2_crit_false_0	omega_CP_crit_false_0	omega_CB_crit_true_0	omega_1_crit_true_0	omega_2_crit_true_0	omega_CP_crit_true_0	status_bounce_sol_0	status_nucl_approx_0	T_nucl_approx_0	omega_CB_nucl_approx_false_0	omega_1_nucl_approx_false_0	omega_2_nucl_approx_false_0	omega_CP_nucl_approx_false_0	omega_CB_nucl_approx_true_0	omega_1_nucl_approx_true_0	omega_2_nucl_approx_true_0	omega_CP_nucl_approx_true_0	status_nucl_0	T_nucl_0	omega_CB_nucl_false_0	omega_1_nucl_false_0	omega_2_nucl_false_0	omega_CP_nucl_false_0	omega_CB_nucl_true_0	omega_1_nucl_true_0	omega_2_nucl_true_0	omega_CP_nucl_true_0	status_perc_0	T_perc_0	omega_CB_perc_false_0	omega_1_perc_false_0	omega_2_perc_false_0	omega_CP_perc_false_0	omega_CB_perc_true_0	omega_1_perc_true_0	omega_2_perc_true_0	omega_CP_perc_true_0	status_compl_0	T_compl_0	omega_CB_compl_false_0	omega_1_compl_false_0	omega_2_compl_false_0	omega_CP_compl_false_0	omega_CB_compl_true_0	omega_1_compl_true_0	omega_2_compl_true_0	omega_CP_compl_true_0	status_gw_0	T_star_0	T_reh_0	v_wall_0	alpha_PT_0	beta/H_0	kappa_col_0	kappa_sw_0	eps_turb_0	cs_f_0	cs_t_0	fb_col_0	h2Omegab_col_0	f_1_sw_0	f_2_sw_0	h2Omega_2_sw_0	f_1_turb_0	f_2_turb_0	h2Omega_2_turb_0	SNR(LISA-3yrs)_col_0	SNR(LISA-3yrs)_sw_0	SNR(LISA-3yrs)_turb_0	SNR(LISA-3yrs)_0	transition_history
1	0.2061394598313448	0.341679580207815	3.0833466997466124	-1.408279004829568	-1.5476599000512343	12768.777547483274	2.0501578931930924	3583.7312344657489	1960.164263843737	171.61667572843305	-0.11325866867206692	-0.10524248843231561	-0.050237415790986464	0	-0.0018606756012914077	0	0	0	success	ew_sym_res	success	success	46.262	success	141.15892873044555	1.9729799974346225e-09	-7.0723387214185243e-09	2.9262123634785771e-09	2.3911233071237251e-09	8.6752334188191624e-10	39.001435988677819	77.13570352352842	5.1192112215720427e-10	success	success	140.98127291454583	1.9729799974346225e-09	-7.0723387214185243e-09	2.9262123634785771e-09	2.3911233071237251e-09	-8.6213496542848296e-10	42.026912598421973	82.994546220005049	3.3667078397493185e-10	success	140.98804858697034	1.9729799974346225e-09	-7.0723387214185243e-09	2.9262123634785771e-09	2.3911233071237251e-09	-3.8346037269597066e-11	41.92962818671888	82.806366933372985	2.5814285273969131e-11	success	140.94880800838212	1.9729799974346225e-09	-7.0723387214185243e-09	2.9262123634785771e-09	2.3911233071237251e-09	-5.1136520170425592e-10	42.479145640063308	83.869138438175852	4.181632567723913e-11	success	140.94576491672697	1.9729799974346225e-09	-7.0723387214185243e-09	2.9262123634785771e-09	2.3911233071237251e-09	-5.2511397953313999e-10	42.520411104873489	83.948929765897262	9.8981451175002047e-11	success	140.94880840603821	140.94880840603821	0.94999999999999996	0.0012217466636512977	117224.40918267636	0	0.0019230604202886514	0.10000000000000001	0.57692089798386781	0.57625847793885054	0.30364448769867369	0	0.13554730766856879	0.86135694513541194	2.137529029785467e-24	0.00011011819141953135	1.4910203843542567	1.6680978578830768e-30	0	2.1501873999220152e-15	6.5903279016803974e-19	2.1505384688487126e-15	0-(0)->1
1	0.814290420651295	0.2726866425670808	3.9646066758121505	-1.79413241138903	-2.0476323251471253	1386.0546826016782	3.337036301464257	8208.0894406032639	3896.1506786621749	775.13002967320381	-0.65046913328692491	-0.14267413455352365	-0.06750092377864722	0	-0.008089006681009446	0	0	0	success	ew_sym_res	success	success	56.207999999999998	success	119.81970559880398	6.1301370509305922e-09	1.8241847601319307e-09	6.2570300613972136e-09	6.1301371218168738e-09	1.6339146477450193e-10	64.551107930617377	182.70761117316897	3.1017443876471784e-10	success	success	113.50064252363934	6.1301370509305922e-09	1.8241847601319307e-09	6.2570300613972136e-09	6.1301371218168738e-09	-3.6346669750585908e-10	68.366457048025211	196.84625533623679	1.8498024936220062e-10	success	113.76684409866269	6.1301370509305922e-09	1.8241847601319307e-09	6.2570300613972136e-09	6.1301371218168738e-09	7.7957028804778766e-10	68.256715806100146	196.36669257355405	-8.9895854916954801e-10	success	112.93037616552807	6.1301370509305922e-09	1.8241847601319307e-09	6.2570300613972136e-09	6.1301371218168738e-09	3.4067278279601399e-10	68.591246968024109	197.84918604028249	-1.9222292778993254e-10	success	112.84232982094733	6.1301370509305922e-09	1.8241847601319307e-09	6.2570300613972136e-09	6.1301371218168738e-09	2.3440369050659936e-10	68.624752168690179	198.00117150352432	-5.902079221650032e-11	success	112.93037616552807	112.93037616552807	0.94999999999999996	0.0093869039214158189	3250.1525567067047	0	0.014267854688037372	0.10000000000000001	0.57727932704334939	0.57368687961012921	0.0067365575154226913	0	0.0030002935012728685	0.018935553079150267	1.0114661401895983e-18	1.8328279502268235e-05	0.033003228514001552	6.9876911349450605e-24	0	1.2206150492552134e-05	1.2156120703042305e-10	1.2206266781183168e-05	0-(0)->1
1	5.278745958281944	0.2354290839757044	0.8486749778857966	1.3037712649357909	-1.1350673170332302	12109.344285336989	6.657751287025503	9045.3122369942066	612.53631237703519	172.60500744305693	-1.1875260781957373	-0.056177571635189584	-0.10066805514202944	0	0.034402918490887537	0	0	0	success	non_bfb	success	success	45.874000000000002	success	181.78675346840515	0	0	0	0	1.8403823095522856e-09	4.9998524798421897	19.279738623697682	8.9765169668245863e-09	success	success	181.77786529451959	0	0	0	0	3.5882623876246333e-09	5.1641371253936272	19.918030188377028	-6.4255148288619466e-10	success	181.77814196303689	0	0	0	0	-3.2705711149592451e-09	5.1592843384877813	19.899168490698585	5.7853706367852604e-09	success	181.7755441692922	0	0	0	0	-5.1738828464900324e-09	5.2038066728401722	20.072235256389739	-9.4664743659224873e-10	success	181.77537226439415	0	0	0	0	9.6816500792018285e-10	5.2067082902530322	20.083515715890201	1.3230506671911604e-09	success	181.7755441692922	181.7755441692922	0.94999999999999996	2.3090015969664397e-05	2680730.973293676	0	3.6865714495851217e-05	0.10000000000000001	0.57776698041831198	0.57775306709209606	8.9625864837118812	0	3.9955861567481996	25.492532733976176	2.6606949240428283e-32	6.1822305345782193e-05	43.951447724230199	4.2012303437121497e-40	0	1.0714047638018895e-27	5.6308817615534875e-30	1.0743413696077068e-27	0-(0)->1
1	7.33200482553261	0.2868479247820757	1.2836394694683488	0.7093451327941978	-2.185603143618859	4666.076459226466	3.006370369783096	14080.68265602765	1494.3242326066345	591.87682106130239	-0.67489403184983687	-0.082043234371113119	-0.15717432653319702	0	0.07120485940624656	0	0	0	success	non_bfb	success	no_coex_pair	4.9619999999999997	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_set
1	1.156330490480512	0.2331907612638231	0.3637036104174252	3.730873780970079	-3.5899168520497167	9029.287637650732	3.37579137424349	-5651.1236463068326	3443.8892330947001	-3610.3127842839222	2.3126920994149307	-0.26993593935911681	-0.051756060373503956	0	-0.44615966604853491	0	1.7462298274040222e-09	0	success	ew_sym_res	success	success	61.466000000000001	success	130.13858031369654	1.0203719568574641e-08	-2.1739187100137185e-08	2.3543686984962245e-09	1.0203770453299677e-08	5.9150937407756754e-10	58.574528284812722	145.01934147643246	-1.7198302925504539e-10	success	success	127.91854109862308	1.0203719568574641e-08	-2.1739187100137185e-08	2.3543686984962245e-09	1.0203770453299677e-08	3.8575552193093058e-10	60.977297798414156	157.26162285548003	-2.6326679002785317e-10	success	128.00711056780438	1.0203719568574641e-08	-2.1739187100137185e-08	2.3543686984962245e-09	1.0203770453299677e-08	-5.8777128159082915e-10	60.902557724325689	156.85648662695453	6.3432096130037629e-11	success	127.65760650647977	1.0203719568574641e-08	-2.1739187100137185e-08	2.3543686984962245e-09	1.0203770453299677e-08	8.9858123287621878e-10	61.190508599799678	158.42697369211433	-4.2117120317491226e-10	success	127.62480374775566	1.0203719568574641e-08	-2.1739187100137185e-08	2.3543686984962245e-09	1.0203770453299677e-08	2.1899224244159006e-09	61.216607108364585	158.57061416777006	-5.377246381929747e-12	success	127.65760650647977	127.65760650647977	0.94999999999999996	0.0042576441266124233	9864.7683501020165	0	0.0066033678776615335	0.10000000000000001	0.57707809635973073	0.57509113243445531	0.023132772368018098	0	0.01030505366267734	0.065281204490528211	1.1211944285347322e-20	2.8916210372715951e-05	0.11335559028945072	3.3694976184426355e-26	0	1.2122478856637796e-08	1.747599589744123e-13	1.2122616551435949e-08	0-(0)->1
1	3.900143943487423	0.4068831714679385	1.1163809882847664	-1.7664090928627545	0.1727720757819473	4934.480179319838	2.5678430616425536	6706.9412022013248	-442.33525213450577	987.71021721574368	-0.095645216334886513	-0.029484680522247786	-0.034006965484525302	0	0.04937899731391493	0	0	0	success	ew_sym_res	success	success	44.746000000000002	success	156.65073792122877	-9.6753354701218905e-10	2.8690596982091946e-08	7.0120328633829178e-09	-9.6753354701289298e-10	-9.9982803660918981e-10	9.2392980305120069	24.696060913091735	9.5705185125042566e-10	success	success	156.63795273735298	-9.6753354701218905e-10	2.8690596982091946e-08	7.0120328633829178e-09	-9.6753354701289298e-10	-6.0278697292686423e-10	9.6687861868532501	25.831690603978679	4.8741444912392615e-09	success	156.63839269435437	-9.6753354701218905e-10	2.8690596982091946e-08	7.0120328633829178e-09	-9.6753354701289298e-10	2.059897582081398e-09	9.6551306997379385	25.795605216829482	-9.8350196604057763e-10	success	156.63475767208161	-9.6753354701218905e-10	2.8690596982091946e-08	7.0120328633829178e-09	-9.6753354701289298e-10	-8.4434744401580841e-09	9.7657679491893123	26.087929762240368	-6.6596775642791345e-09	success	156.63451029303329	-9.6753354701218905e-10	2.8690596982091946e-08	7.0120328633829178e-09	-9.6753354701289298e-10	-1.1391908903198014e-10	9.7731343729776707	26.107389914970867	2.5568353060078022e-09	success	156.63475776634277	156.63475776634277	0.94999999999999996	7.4653638492929919e-05	1593765.5150310299	0	0.00011882069273783161	0.10000000000000001	0.57742190184771836	0.57737903807881918	4.5897505853160228	0	2.0631064359344036	13.149764200277765	2.6230242792568041e-30	0.00010304412099337241	22.694170795278435	1.2704195084189018e-37	0	7.6795717080977074e-25	3.2976567935248404e-27	7.6967600896182223e-25	0-(0)->1
1	6.894232099746165	0.0788266464350619	2.756340679639706	4.882392123037801	3.741933685402689	86830.60597161014	7.932889640436517	74384.369675230686	-12601.921223815654	-2625.5675244801573	-116.9241262075726	-1.236680414755629	-3.3948453671116168	0	0.12722632591044625	1.6298145055770874e-09	1.6763806343078613e-08	0	no_nlo_stability	not_set	not_set	not_set	0.69099999999999995	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_set
1	4.649550206478783	5.811571843406831	1.7765652873534077	-3.830065902434815	-2.743609426465221	440773.24098139314	1.06961076618975	-61187.858091467562	-61340.767090394795	72875.508061583256	-2.3813417878208023	-3.4291963894766124	-1.1165451650257434	0	-0.28455243407955089	-1.4901161193847656e-08	7.4505805969238281e-09	0	success	ew_sym_res	success	no_coex_pair	7.4320000000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_set
1	5.5333850511385245	1.4709620802623875	6.609660373142364	-7.4646954040459566	-1.8750772849006383	442670.59500011936	1.9849965725408245	-266186.28983835917	-92721.747277587303	39216.371878355669	1.863844421335463	-0.73473347725083216	-2.2128183250528566	0	-2.0309803180793442	0	-1.4901161193847656e-08	0	success	non_bfb	success	success	109.60299999999999	success	225.1170485950455	0	0	0	0	-3.9735247623531058e-09	17.455773646858578	35.585449715760078	-6.681377300291074e-10	success	not_met	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_met	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_met	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_met	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_set	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0
1	3.65662630415676	7.800919783296389	6.097052121183878	-10.057073691475344	-1.2627870136827262	405854.2047139205	1.0396563264865104	-94242.901013926137	-119009.56914245561	33007.89062484826	-0.52547623328744197	-5.1964967552202337	-2.7520755818277056	0	-2.2411706655493515	-7.4505805969238281e-09	-1.4901161193847656e-08	0	success	non_bfb	success	no_coex_pair	10.685	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_set
