yuktype	L1	L2	L3	L4	L5	m12sq	tbeta	Dm11sq	Dm22sq	Dm12sq	DL1	DL2	DL3	DL4	DL5	DT1	DT2	DT3	status_nlo_stability	status_ewsr	status_tracing	status_coex_pairs	runtime	status_crit_0	T_crit_0	omega_CB_crit_false_0	omega_1_crit_false_0	omega_2_crit_false_0	omega_CP_crit_false_0	omega_CB_crit_true_0	omega_1_crit_true_0	omega_2_crit_true_0	omega_CP_crit_true_0	status_bounce_sol_0	status_nucl_approx_0	T_nucl_approx_0	omega_CB_nucl_approx_false_0	omega_1_nucl_approx_false_0	omega_2_nucl_approx_false_0	omega_CP_nucl_approx_false_0	omega_CB_nucl_approx_true_0	omega_1_nucl_approx_true_0	omega_2_nucl_approx_true_0	omega_CP_nucl_approx_true_0	status_nucl_0	T_nucl_0	omega_CB_nucl_false_0	omega_1_nucl_false_0	omega_2_nucl_false_0	omega_CP_nucl_false_0	omega_CB_nucl_true_0	omega_1_nucl_true_0	omega_2_nucl_true_0	omega_CP_nucl_true_0	status_perc_0	T_perc_0	omega_CB_perc_false_0	omega_1_perc_false_0	omega_2_perc_false_0	omega_CP_perc_false_0	omega_CB_perc_true_0	omega_1_perc_true_0	omega_2_perc_true_0	omega_CP_perc_true_0	status_compl_0	T_compl_0	omega_CB_compl_false_0	omega_1_compl_false_0	omega_2_compl_false_0	omega_CP_compl_false_0	omega_CB_compl_true_0	omega_1_compl_true_0	omega_2_compl_true_0	omega_CP_compl_true_0	status_gw_0	T_star_0	T_reh_0	v_wall_0	alpha_PT_0	beta/H_0	kappa_col_0	kappa_sw_0	eps_turb_0	cs_f_0	cs_t_0	fb_col_0	h2Omegab_col_0	f_1_sw_0	f_2_sw_0	h2Omega_2_sw_0	f_1_turb_0	f_2_turb_0	h2Omega_2_turb_0	SNR(LISA-3yrs)_col_0	SNR(LISA-3yrs)_sw_0	SNR(LISA-3yrs)_turb_0	SNR(LISA-3yrs)_0	status_crit_1	T_crit_1	omega_CB_crit_false_1	omega_1_crit_false_1	omega_2_crit_false_1	omega_CP_crit_false_1	omega_CB_crit_true_1	omega_1_crit_true_1	omega_2_crit_true_1	omega_CP_crit_true_1	status_bounce_sol_1	status_nucl_approx_1	T_nucl_approx_1	omega_CB_nucl_approx_false_1	omega_1_nucl_approx_false_1	omega_2_nucl_approx_false_1	omega_CP_nucl_approx_false_1	omega_CB_nucl_approx_true_1	omega_1_nucl_approx_true_1	omega_2_nucl_approx_true_1	omega_CP_nucl_approx_true_1	status_nucl_1	T_nucl_1	omega_CB_nucl_false_1	omega_1_nucl_false_1	omega_2_nucl_false_1	omega_CP_nucl_false_1	omega_CB_nucl_true_1	omega_1_nucl_true_1	omega_2_nucl_true_1	omega_CP_nucl_true_1	status_perc_1	T_perc_1	omega_CB_perc_false_1	omega_1_perc_false_1	omega_2_perc_false_1	omega_CP_perc_false_1	omega_CB_perc_true_1	omega_1_perc_true_1	omega_2_perc_true_1	omega_CP_perc_true_1	status_compl_1	T_compl_1	omega_CB_compl_false_1	omega_1_compl_false_1	omega_2_compl_false_1	omega_CP_compl_false_1	omega_CB_compl_true_1	omega_1_compl_true_1	omega_2_compl_true_1	omega_CP_compl_true_1	status_gw_1	T_star_1	T_reh_1	v_wall_1	alpha_PT_1	beta/H_1	kappa_col_1	kappa_sw_1	eps_turb_1	cs_f_1	cs_t_1	fb_col_1	h2Omegab_col_1	f_1_sw_1	f_2_sw_1	h2Omega_2_sw_1	f_1_turb_1	f_2_turb_1	h2Omega_2_turb_1	SNR(LISA-3yrs)_col_1	SNR(LISA-3yrs)_sw_1	SNR(LISA-3yrs)_turb_1	SNR(LISA-3yrs)_1	transition_history
1	7.332497640334102	0.0913346076060505	1.9953662974249469	2.660426778906303	-3.668375027787441	31581.06655702432	2.647563416752724	48122.086847345847	10240.214401864039	9862.3434433874627	-5.6373096129250762	-0.47417308322443391	-1.1996541948340824	0	0.95824773754303738	1.6298145055770874e-09	0	0	success	non_bfb	success	no_coex_pair	3.823	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_set
1	4.22988950942663	0.9900819283129522	11.103443229531594	-6.995971865290137	-5.9954705954405805	80354.18478114443	2.359087097171737	-7175.8329879287849	506.22923277958262	-6108.1174975310578	0.089698781519002138	-2.540922655076737	-4.7010631191257266	0	-0.56236335026416095	1.1175870895385742e-08	-3.7252902984619141e-09	0	no_nlo_stability	not_set	not_set	not_set	0.13	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_set
1	8.235946026709486	1.2944403471100052	3.762471863462279	-4.945815093419389	-1.58511896923087	41483.05738489384	2.1881543876034906	-2467.6402694962335	-1137.142340973418	-7521.6825355624142	-2.196479790684279	-0.18410660032193843	-0.63097898360337223	0	-0.41530726318248234	0	-2.7939677238464355e-09	0	success	non_bfb	success	success	23.27	success	236.39660839878235	0	0	0	0	4.8932131221186117e-10	95.669925134023742	176.63301986014943	1.9913993844220345e-09	success	success	230.57970302803164	0	0	0	0	7.5232077472025432e-11	98.401415525816333	183.38731378710852	1.1931810637557718e-09	success	230.72720219187983	0	0	0	0	-8.690731069188071e-10	98.342652644510054	183.23499766692797	-7.689686853470028e-10	success	229.97582572447971	0	0	0	0	-1.4613251722304104e-09	98.637429623320827	184.00256404243709	7.0597494128889285e-10	success	229.90530797874425	0	0	0	0	3.6047540033235363e-10	98.664523347911512	184.07355530705397	9.8647878082669757e-10	success	229.97582572447971	229.97582572447971	0.94999999999999996	0.00047551024812163549	8301.9966430569148	0	0.00076173429262460751	0.10000000000000001	0.57851938762345911	0.5782634008273313	0.035127706335587851	0	0.01557292805139188	0.099494384476455991	9.4682823445262224e-24	4.9692975936970413e-06	0.1713022085653107	8.0081193433625878e-30	0	3.7916438897298269e-12	2.7516142425089451e-17	3.7916636358265903e-12	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0-(0)->1
1	7.777230836384603	6.089922244402263	1.8853301851734463	-1.9766456091458944	-6.751973126420437	223481.70549396664	1.382417501175219	40837.733793835287	43029.774187049028	99972.407764888761	-10.240211636152258	-4.687636034868774	-4.2539103235307127	0	2.4051922322825492	0	-3.7252902984619141e-09	0	success	non_bfb	success	no_coex_pair	6.4930000000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_set
1	6.533101052154675	0.4595919327042688	-1.6844866567644097	1.249941453168006	-0.7126994589480942	22520.778842495725	3.8236637734269414	7107.9395208148444	-1623.3044996233839	252.07387698092307	-1.2277964839151085	-0.02850251028588623	0.011924285399732582	0	0.020607760822251634	0	0	0	success	non_bfb	success	success	120.182	success	158.17646171315283	0	0	0	0	1.198967079640284e-09	3.0544761710760593	13.095895415020673	1.0139483066565623e-10	success	success	158.17351510946222	0	0	0	0	3.294891554868408e-10	3.1372911924006188	13.450294009598322	-1.0607235423744954e-09	success	158.17361133282577	0	0	0	0	3.3455840571186146e-10	3.1349450227544913	13.440254129321518	-2.3452752679659184e-09	success	158.17268684364879	0	0	0	0	2.4037283226414353e-10	3.1594598655061121	13.54515462335516	-1.3048730913963154e-09	success	158.17262769745994	0	0	0	0	-1.1022748508074561e-09	3.1607955265979086	13.550870162272069	1.349546179959857e-09	success	158.17268684364879	158.17268684364879	0.94999999999999996	2.2695593566064591e-05	6738776.0220524892	0	3.6520110022696272e-05	0.10000000000000001	0.57873001222481002	0.57871638757362376	19.597692328625254	0	8.7937691025334654	56.251342422656521	4.2567117628489551e-33	0.00013426202925521667	96.731460127868132	6.2263461942794491e-41	0	1.6035657154096856e-29	3.7917275805625155e-31	1.6235903471479474e-29	success	156.58992488952373	1.3255994479263511e-09	10.862786460063818	46.211241819100877	5.0727057710553881e-11	-1.1849409616808732e-09	13.382803537631791	56.801666810552724	1.2951702513791246e-09	failure	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_set	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0-(0)->1
1	7.0681024325574455	0.3695306048245501	0.1953489993983219	-0.139534864262429	-0.6746407203219511	21014.604160006347	3.0321658722370226	8871.5863553592972	-990.48006439096923	-174.29789127025532	-1.0524907605665088	-0.028347984626124423	-0.016015553580142818	0	0.010670611032502381	0	0	0	success	non_bfb	success	success	16.5	success	175.6070797434142	0	0	0	0	1.76125737519928e-11	8.8756071740345153	21.142870635632342	1.8115716875542636e-10	success	success	175.59496562464813	0	0	0	0	1.4389947155974323e-09	9.2109136458610976	21.944684951453809	7.0406376154846416e-10	success	175.59535426263	0	0	0	0	4.6384891972189273e-10	9.2009112373026998	21.920759805483065	5.6084699999482677e-10	success	175.59189815199571	0	0	0	0	-1.9893791399802894e-10	9.2892081011553191	22.131975143705258	-9.9704729587475387e-10	success	175.59166508418639	0	0	0	0	1.8037524773148241e-09	9.294824232523764	22.145411486896712	-2.0950669484288123e-09	success	175.59189803726133	175.59189803726133	0.94999999999999996	3.2470957398794831e-05	1901237.001530437	0	5.1957437661660952e-05	0.10000000000000001	0.57804537014738488	0.57802609696008955	6.1399469591886433	0	2.7534014456362228	17.580073171650433	1.4592550575242983e-31	5.9976367693261224e-05	30.287415901998454	3.2428000687668243e-39	0	1.7941774896841612e-26	6.3071194609471116e-29	1.7974629332388913e-26	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0-(0)->1
1	5.921421879398001	0.0462764136744628	2.062201869593843	3.045981033042046	-4.993484253147724	81297.97527182654	1.948326434399384	68853.691570591807	19663.265142572302	30699.767890653886	-7.0130544832860542	-1.0538189072297093	-2.277560212531113	0	2.2213748408842404	0	0	0	success	non_bfb	success	no_coex_pair	4.194	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_set
1	5.962845743930713	0.4222347464945083	1.4600738606126729	-1.5479481680147833	-0.6304353642516897	28211.305243331688	2.2081295961573564	7380.7731296776692	-772.5101385651858	-1160.1155885061007	-0.85243204420614793	-0.040507556947747443	-0.064621166155158991	0	-0.032929329668126908	0	0	0	success	non_bfb	success	success	19.699999999999999	success	187.21793876582672	0	0	0	0	2.6380611924311053e-10	10.689565571214576	17.210149429458934	8.1672019070752808e-10	success	success	187.20673248029354	0	0	0	0	-3.6193244503762043e-10	11.040365939279175	17.778619427462186	3.226825206780702e-11	success	187.20707686312892	0	0	0	0	-8.7865154420269603e-10	11.030575817189314	17.762748203417743	1.1253940403512844e-09	success	187.20386788175551	0	0	0	0	-1.4290754249400821e-09	11.123761162291421	17.913821777345071	3.7527258518589326e-10	success	187.2036531870321	0	0	0	0	9.1005085377539639e-10	11.129945790124982	17.923849343788198	-7.8979541458082048e-10	success	187.20386788175551	187.20386788175551	0.94999999999999996	1.7979078303331401e-05	2198797.2922645202	0	2.8686563137738755e-05	0.10000000000000001	0.57768107347397168	0.57767035942139633	7.5709785965934628	0	3.3943808942249554	21.651928144255137	1.7454235661437244e-32	4.088141389107591e-05	37.338189836474513	2.2666142867335193e-40	0	1.1466003651942996e-27	3.5760000634931077e-30	1.1484625671031601e-27	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0-(0)->1
1	1.2911564381957992	1.2615997505422587	7.431395851818033	-5.0052603223930765	-3.665935064595928	97854.82430073198	1.7285582891457645	-3532.283492991844	-3269.2889327583139	-2110.0127420959061	-0.10395044445944826	-1.0004565935196801	-1.5594501712295659	0	-0.38388279841662609	-1.862645149230957e-09	0	0	success	non_bfb	success	success	22.925999999999998	success	192.82941717399595	0	0	0	0	-1.7878900351787388e-10	87.555288525942615	155.61472759032094	9.6534861109108369e-10	success	success	190.17585619625393	0	0	0	0	8.2261577592192192e-11	92.315316840359159	163.00765575477331	-4.3832246512372105e-10	success	190.25952514871892	0	0	0	0	5.5223439166736252e-10	92.189264509722861	162.81241292439637	-5.7451442384514159e-10	success	189.84577223475259	0	0	0	0	-4.482553651241385e-10	92.802037148446487	163.76128732323519	3.0801084788524133e-10	success	189.80804559957431	0	0	0	0	-1.9020615103030181e-10	92.856626283294844	163.84578845745682	1.7707122734904068e-10	success	189.84577223475259	189.84577223475259	0.94999999999999996	0.0012368831540724033	12771.693395603035	0	0.0019705596682104724	0.10000000000000001	0.57822049473692327	0.57775390778663782	0.044596670389759688	0	0.019838242939833394	0.12657171684988081	1.3939153449924022e-22	1.6414973361980496e-05	0.2182206723381673	1.5203765601967972e-28	0	3.0403356638987658e-11	4.1022131054834229e-16	3.040363546560209e-11	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0-(0)->1
1	7.532582738782129	0.1218099511849469	3.260610608035912	-1.869386516774031	-1.1376997055553466	28173.26889964609	2.090559030661828	13811.052656710333	995.73823612453873	-2922.8589615558253	-1.5417456120918007	-0.091097731426621822	-0.30589812284932033	0	-0.06750298676223844	0	0	0	success	non_bfb	success	no_coex_pair	3.7320000000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_set
